#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6078.272625214433    All      1.0952724104016094         -0.015457547053276954     -0.7572662756895998        -0.39559460495907545      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5263.030820675785    All      0.1220565648910017         0.4537173707002573        -0.7563742732650841        0.07427932585405182       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7400.238292294624    All      0.7280420945896148         -0.14184377392405523      1.0410587115275038         -0.23689277688417001      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4251.31770048723     All      -0.949110713926288         0.7013675939785635        0.46408046600849295        0.5583248637615684        
Check         All|All|All                                All                  All      0.9962603559559379         0.9977836437014886        -0.008501371418687231      0.0001168077723747718     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6078.272625214433    All      -0.00019749373622175194    9.725386222995816e-06     -0.0008293486055437964     3.0488066281839626e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5263.030820675785    All      -5.066545240249855e-05     0.00012912089114394963    -0.0013841575910700564     -3.206269195488455e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7400.238292294624    All      -0.00025474013577235857    5.225501132829814e-05     -0.0009049233263707747     5.9615847357609316e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4251.31770048723     All      -0.0005538577360835037     0.0002731177130794985     -0.00043180607926910996    0.00025010358837235637    
MWEBV         All|All|All                                All                  All      -0.8097198634412397        -3.949468753085661        0.143875365672666          -1.0162990112531811       
Redshift      All|All|All                                All                  All      8.856124286987324          -0.9578240376022507       16.014098858496247         -2.482090156669573        
