#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6078.272625214433    All      1.1299459726624463         -0.03298202667094685      -0.533102024938708         -0.40259380350162743      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5263.030820675785    All      0.14863653233550347        0.47326890832790625       -0.7208782414690447        0.07357395990590998       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7400.238292294624    All      0.6684923957278308         -0.1373014087515223       0.875254405349393          -0.22341496773501182      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4251.31770048723     All      -0.9504223791768625        0.6948525213027246        0.3750374954884448         0.5526563639614019        
Check         All|All|All                                All                  All      0.9966525215489181         0.9978379942081617        -0.003688365569914809      0.00022155263067269448    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6078.272625214433    All      -0.00019605148556459985    7.93533494580198e-06      -0.0008069548930226438     3.0434527741465678e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5263.030820675785    All      -5.547129612978172e-05     0.00013310346480733507    -0.0013315532336312492     2.003898348415519e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7400.238292294624    All      -0.0002356055583437218     4.108886766810948e-05     -0.000781543937765785      5.5251761087269945e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4251.31770048723     All      -0.0005543554505820891     0.0002654810373551954     -0.00043795902334224694    0.00024750361620175785    
MWEBV         All|All|All                                All                  All      -0.8144686467538156        -3.9496124562631074       0.12573534644797663        -1.0156084908944363       
Redshift      All|All|All                                All                  All      8.769320726347416          -0.8938980979653621       15.050637288721562         -2.4759874644162623       
