#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8127.842127517633     All      0.0737901566762035         -0.008189111351519784     0.05618798420878868        -0.024195932961276624      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5352.872696772022     All      0.4656798600398991         0.42138259964321634       0.6269768310646961         0.01355002132220869        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6293.5454942053675    All      0.20865852177640726        -0.024139741011186544     0.004623997395225565       -0.07562370525877782       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5319.840352493839     All      0.06416150378695928        0.0017191879470246363     -0.29248938779020683       -0.03339197458214756       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4342.848100405606     All      -0.9607622311715134        0.7986327035410135        0.663261604016463          0.6026911317468346         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6350.709737265512     All      1.025555275490541          -0.13193873677970203      -0.10881192795273442       -0.38188965680774195       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7852.573127643003     All      0.3456316326735568         -0.07633304126697382      0.007671129188024928       -0.1371054492644206        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4368.497190691689     All      -0.24605565845205216       0.0273578325139745        -0.9560889035596931        0.0463939124359442         
Check         All|All|All                       All                   All      0.9766590608200015         1.0084916932358468        0.0013313265705638955      0.010428346630622969       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8127.842127517633     All      -1.324967678538396e-06     1.7546109299146895e-06    7.821969271768182e-06      1.3521786314935918e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5352.872696772022     All      0.00019186093200091196     -5.935506669290657e-06    -0.00048269393196097673    -8.596922063480665e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6293.5454942053675    All      -9.963754028461151e-06     1.5294839142093108e-06    -7.031738314227367e-08     3.740587772371326e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5319.840352493839     All      6.8182090291653e-05        3.1189654835151544e-06    -0.00023157780053404428    -3.1527453902704205e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4342.848100405606     All      -0.0004363899204675666     0.00011048769974016632    -0.0010818144889343053     0.00012985962059404988     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6350.709737265512     All      -0.00022289132091758414    2.493202457503319e-05     -9.012715469149318e-05     7.670225579800742e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7852.573127643003     All      -2.2371864806612836e-05    8.585446263392701e-06     2.502549363593344e-05      1.1200587523820332e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4368.497190691689     All      -0.0002895612316341777     3.453173132825769e-05     -0.0011488990702536077     5.429765157579514e-05      
MWEBV         All|All|All                       All                   All      -0.8431951960195696        -4.048011476527602        0.04088292480877165        -1.0420896807196192        
Redshift      All|All|All                       All                   All      4.044699054615943          -0.0968777797135445       2.8156136215678362         -1.2233999244868712        
