#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8127.842127517633     All      0.0753363663819859         -0.004134154430168735      0.10134515103819436        -0.021363594501603262     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5352.872696772022     All      0.4023094601347615         0.40354094885381997        0.5133786582456946         0.023310868045185226      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6293.5454942053675    All      0.38436710820187125        -0.03564063411332086       0.0769991166530091         -0.13337422258427684      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5319.840352493839     All      0.08166786759393913        0.014542154327479295       -0.5157694036992353        -0.04488147282516452      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4342.848100405606     All      -0.8134706906478023        0.7109553196090523         0.7665952173546856         0.5307653273727839        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6350.709737265512     All      0.9019589583179256         -0.11034045593216746       -0.08054913591501896       -0.3333337608698536       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7852.573127643003     All      0.275268252055483          -0.05796498401862138       0.05328555682984448        -0.10616713836756213      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4368.497190691689     All      -0.30984160644693326       0.0764352282539349         -0.9121002255984823        0.08512022924881957       
Check         All|All|All                       All                   All      0.9975957155912307         0.9973934225500081         0.003184934908691539       7.623551832837416e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8127.842127517633     All      4.785579461765136e-06      -3.1124100441753437e-07    6.11971631913288e-06       -1.38710727376595e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5352.872696772022     All      0.00010940710447752386     -1.748449326171178e-05     -0.0005859236219357676     -6.747984819036997e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6293.5454942053675    All      -5.33904888051261e-05      4.851603498878775e-06      -1.2843971008178584e-05    1.8398198135467234e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5319.840352493839     All      5.2160508931073434e-05     8.8432182409498e-06        -0.0003075316967181736     -2.783359385684476e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4342.848100405606     All      -0.0003314763262611475     4.935062572332055e-05      -0.001106727332708768      7.465970925191102e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6350.709737265512     All      -0.00023246643430438019    1.3778491970049432e-05     -0.0001993733750423615     7.131295566567626e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7852.573127643003     All      -4.755496839982272e-06     3.7253965765733746e-06     3.578430482565108e-05      4.359395171879428e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4368.497190691689     All      -0.0002789455122921049     6.89122775691687e-05       -0.0008254841665659831     7.647115929698174e-05     
MWEBV         All|All|All                       All                   All      -0.8438280799323516        -4.045504290927493         0.06623127109177984        -1.0399356765001848       
Redshift      All|All|All                       All                   All      3.8719028822069594         0.11367077269941461        1.8649727972224506         -1.140954669800674        
