#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6330.225770389516    All      0.9075414305340458         -0.274394696315472        -0.9300961874309233       -0.4265014021262392       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7692.479440904773    All      0.39824387006937495        -0.21582397428012712      0.23586456358146712       -0.18949654695076257      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4233.905770839188    All      -1.102000723769458         0.4516884650098696        -0.44451042348800374      0.4862512250037365        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5296.83886915749     All      0.8065276896389162         1.0800863216853251        1.3086231253839897        0.14750488606645462       
Check         All|All|All                                All                  All      1.010312266472879          1.0415561160995956        0.16988107804652985       0.01775816199318936       
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6330.225770389516    All      -0.00011136711470636724    -0.00012949246681556      -0.0003824045612123563    -2.296898273462071e-05    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7692.479440904773    All      -4.50876532838743e-05      3.1307647226349606e-05    8.912096208663318e-07     2.492423329911485e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4233.905770839188    All      -0.0012445634710701791     0.0006997064844169189     -0.0009520632150909015    0.000590826480462425      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5296.83886915749     All      1.6926737214092622e-05     0.0007712137432647144     -0.0016226964583790453    0.00017328260301390639    
MWEBV         All|All|All                                All                  All      -0.7744519425844456        -3.980906315453314        0.08606552946736623       -1.0406069691634656       
Redshift      All|All|All                                All                  All      6.742130197609834          -3.416033318697753        9.12259023925987          -2.9017487470778454       
