#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6330.225770389516    All      0.9898532946606323        -0.3349383286264107       -0.8801970664435582        -0.47080736853088295      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7692.479440904773    All      0.37752016329662536       -0.21890385015446157      0.10528571516529991        -0.18957650504020876      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4233.905770839188    All      -1.2705473568497971       0.4860183951934438        -0.7282666240243124        0.5396720601146288        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5296.83886915749     All      0.8998438607562216        1.069939423782973         1.503833900603995          0.12251492098029272       
Check         All|All|All                                All                  All      0.9966699618636824        1.0021156401955444        0.0006559253014242206      0.0018031075238297417     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6330.225770389516    All      -0.0002171966511044199    -7.948681176290762e-05    -0.00035244549709445317    2.912860138096815e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7692.479440904773    All      -6.001752310453738e-05    2.842123243771026e-05     -2.399492598970517e-05     2.773662888653356e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4233.905770839188    All      -0.0010653059627501427    0.0006176190758081342     -0.0009823653921421378     0.0005043455960373954     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5296.83886915749     All      8.53294787178409e-05      0.0006267772300502556     -0.0015085688406583368     0.00010904684695837866    
MWEBV         All|All|All                                All                  All      -0.800345167811463        -3.9803383550540694       0.013032690067880676       -1.035246810652543        
Redshift      All|All|All                                All                  All      6.659960026898793         -2.3233962821136878       8.82369471420059           -2.532413724158632        
