#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3064.784354780598    All      -0.27708594309807727       0.026134727288251725       0.00176181567286271        0.09884756975032938       
Zeropoint     AB|MEGACAMPSF|z           5499.73282212488     All      0.7508797574727024         0.1340377962055328         0.3693737743130754         -0.1844422652072568       
Zeropoint     AB|MEGACAMPSF|i           4766.83652931122     All      1.416900071634638          0.5064170976325499         0.3314115889558211         -0.28178488153587644      
Zeropoint     AB|MEGACAMPSF|r           3904.595608646349    All      -0.8808467401011265        0.32725300791014433        -0.7389192966369862        0.3605432587530957        
Check         All|All|All               All                  All      1.0098471459081368         0.9938426290364788         -0.03637211769522697       -0.006836318239708206     
Lambda        AB|MEGACAMPSF|g           3064.784354780598    All      -0.0008510866068719019     7.565678269663076e-05      -0.0001435114253062328     0.00029546655514709407    
Lambda        AB|MEGACAMPSF|z           5499.73282212488     All      -6.752915992972388e-05     -2.4876931682169697e-05    -0.00011135701488944508    8.923881826612446e-06     
Lambda        AB|MEGACAMPSF|i           4766.83652931122     All      -0.00017017217454814144    -3.5058367936853994e-05    -0.0008164981834500763     7.5744480386407066e-06    
Lambda        AB|MEGACAMPSF|r           3904.595608646349    All      -0.0012519988304278771     0.0002793479628899154      -0.0019824011852197193     0.0004103445703396388     
MWEBV         All|All|All               All                  All      -0.4361848117129463        -2.100121080529327         0.22710742262876948        -0.5318640234254851       
Redshift      All|All|All               All                  All      2.6184764275278005         0.15339851328874943        2.112957149112882          -0.7086654022184321       
