#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3064.784354780598    All      -0.2959139709011409        0.04075022278247076        0.1332093667317002         0.11560712603448033       
Zeropoint     AB|MEGACAMPSF|z           5499.73282212488     All      0.9595576528799268         0.12614811518396607        0.2794775154826453         -0.2589971068647682       
Zeropoint     AB|MEGACAMPSF|i           4766.83652931122     All      1.4991316277005502         0.4942862591718722         0.14097451892671706        -0.32102014965332826      
Zeropoint     AB|MEGACAMPSF|r           3904.595608646349    All      -1.177674177233999         0.33846425317154427        -0.5446074898958547        0.4695528352735541        
Check         All|All|All               All                  All      0.985101132445337          0.9996488503098533         0.009053911245207824       0.005142704789938002      
Lambda        AB|MEGACAMPSF|g           3064.784354780598    All      -0.0008899739342486401     0.00011377453326891409     0.00029009108927513565     0.0003398993311883543     
Lambda        AB|MEGACAMPSF|z           5499.73282212488     All      -0.00013178836759622782    -2.1268766119190162e-05    -0.00010707154969855614    3.122175868675423e-05     
Lambda        AB|MEGACAMPSF|i           4766.83652931122     All      -6.607300251365929e-05     -3.140192679803796e-05     -0.0008204811577606369     -2.532079573211268e-05    
Lambda        AB|MEGACAMPSF|r           3904.595608646349    All      -0.0013361704345258266     0.00024190182905060683     -0.0017153983858394638     0.0004374797018620283     
MWEBV         All|All|All               All                  All      -0.32956774177167003       -2.112046390926281         0.1534969475165043         -0.5737620740536971       
Redshift      All|All|All               All                  All      3.0165400021816415         0.05580273396397217        1.3956073424490192         -0.9021299877205713       
