#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          5452.8952575885805    All      0.4999562047010765         0.3781692348571397        -0.7758361083714327        -0.07429202498072413      
Zeropoint     AB|DECam|DECam_i          6624.586658271279     All      0.9242208825974102         -0.04216639850280757      0.330051439180132          -0.30005545079235824      
Zeropoint     AB|DECam|DECam_g          4102.77687417824      All      -0.8170442688660958        0.7024540247806854        0.2018254511405645         0.5039571271834002        
Zeropoint     AB|DECam|DECam_z          7763.041256277674     All      0.38974200272349924        -0.03980781156371904      0.24529463099596788        -0.12897213349862238      
Check         All|All|All               All                   All      0.9968748211558901         0.9986490495712985        0.0013354129452317065      0.000637517911695501      
Lambda        AB|DECam|DECam_r          5452.8952575885805    All      7.817315413720316e-05      6.759759408813858e-05     -0.000985995484900857      -4.744525781123193e-05    
Lambda        AB|DECam|DECam_i          6624.586658271279     All      -0.00032735452562999143    -5.354415497425096e-06    -0.00040705029932768184    8.672124401455178e-05     
Lambda        AB|DECam|DECam_g          4102.77687417824      All      -0.0007094466894157053     0.0004626918795676862     -0.0006235865567467269     0.00035397629013325405    
Lambda        AB|DECam|DECam_z          7763.041256277674     All      -0.0001302307353207947     2.3120271435197793e-05    2.8988235449753916e-05     5.124507980866736e-05     
MWEBV         All|All|All               All                   All      -0.516380005836675         -3.329496574477453        0.06347398499191091        -0.9134920627677154       
Redshift      All|All|All               All                   All      6.550659455454668          -0.7231563418665488       3.6450596636222077         -2.2066588349853338       
