#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5452.8952575885805    All      0.4381369975592253        0.32374102448073927        -1.22088202770263         -0.09174488953542226      
Zeropoint     AB|DECam|DECam_i          6624.586658271279     All      0.9453498524561972        -0.005333930502615658      0.6585363872460226        -0.2802815302625758       
Zeropoint     AB|DECam|DECam_g          4102.77687417824      All      -0.79004848994683         0.7075317265407222         0.2225504796852129        0.49774255120665356       
Zeropoint     AB|DECam|DECam_z          7763.041256277674     All      0.4045016982752197        -0.027667205781334303      0.34359058288746525       -0.12543876032604928      
Check         All|All|All               All                   All      0.997940058343812         0.9982716147375115         0.003795422116070757      0.0002773710826062259     
Lambda        AB|DECam|DECam_r          5452.8952575885805    All      2.0414055631690414e-05    8.135695758952091e-05      -0.0012773465355045916    -3.715100110954351e-05    
Lambda        AB|DECam|DECam_i          6624.586658271279     All      -0.000372848575990607     -2.0216986517810175e-05    -0.0005854878379205275    8.873607676797543e-05     
Lambda        AB|DECam|DECam_g          4102.77687417824      All      -0.0006819829841799766    0.0005105074641652942      -0.0003863174332756989    0.00037119379804120524    
Lambda        AB|DECam|DECam_z          7763.041256277674     All      -0.0001186141881242471    1.9130808898315295e-05     5.077204113247448e-05     4.713380021423824e-05     
MWEBV         All|All|All               All                   All      -0.5080963180610465       -3.3285778089727103        0.092670168336495         -0.9145881686806397       
Redshift      All|All|All               All                   All      6.181380237822469         -0.9757814425904954        2.4565530008724634        -2.2216983450467223       
