#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5905.312221907253     All      0.35517114854135096       0.03783868557025727       0.5559203567349088        -0.078557450846388        
Zeropoint     AB|MEGACAMPSF|i           5126.349703510645     All      1.9792884853505692        0.4349045041815103        0.15281016706832215       -0.4962374554660257       
Zeropoint     AB|MEGACAMPSF|g           3285.8370403791037    All      -0.4397436896890562       0.1285784399934542        0.41056672989643633       0.20344292237078898       
Zeropoint     AB|MEGACAMPSF|r           4192.244010154841     All      -0.9086386601694902       0.40043164000014286       -1.1017508869484192       0.3772411819731921        
Check         All|All|All               All                   All      0.9860772840333737        1.0017532697453646        0.0175463667512481        0.0058891980315674        
Lambda        AB|MEGACAMPSF|z           5905.312221907253     All      -5.845966447369927e-05    -5.924375501123503e-06    -8.746923551856338e-05    1.3209121728512243e-05    
Lambda        AB|MEGACAMPSF|i           5126.349703510645     All      0.0005530015723107027     0.00011185850356239804    0.00015472484603762043    -0.0001367901514140556    
Lambda        AB|MEGACAMPSF|g           3285.8370403791037    All      -0.0006714738283543965    0.00021337085798925223    0.0008243744459316056     0.0003250110701746836     
Lambda        AB|MEGACAMPSF|r           4192.244010154841     All      -0.0007021803481410047    6.19082014460655e-05      -0.002585725490662731     0.00013349972552647427    
MWEBV         All|All|All               All                   All      -0.4074351015821187       -2.3211635365536054       0.22289329384205273       -0.6134176070733308       
Redshift      All|All|All               All                   All      7.555337383605501         0.5038832553390549        10.228132861608454        -1.8404560020280416       
