#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5905.312221907253     All      0.32083442846100757       0.030774396229737988       0.5167510354079807         -0.07142186983074145       
Zeropoint     AB|MEGACAMPSF|i           5126.349703510645     All      2.037563918067031         0.43951090089091593        0.5723458051293928         -0.4949972774831883        
Zeropoint     AB|MEGACAMPSF|g           3285.8370403791037    All      -0.34249025603710326      0.09219985914352691        0.26326191632737306        0.1533410416017851         
Zeropoint     AB|MEGACAMPSF|r           4192.244010154841     All      -1.0095901480524578       0.4268535825969977         -1.4145494325593422        0.4047721362830051         
Check         All|All|All               All                   All      1.0063179424384774        0.9893387388611785         -0.062190675694595576      -0.008305969429139526      
Lambda        AB|MEGACAMPSF|z           5905.312221907253     All      -4.477248295246789e-05    -1.0142240843282997e-05    -0.00014397418009578334    4.85530274790312e-06       
Lambda        AB|MEGACAMPSF|i           5126.349703510645     All      0.0006336181541503091     0.00012625521954648275     0.0005619013617931068      -0.00014018972248800352    
Lambda        AB|MEGACAMPSF|g           3285.8370403791037    All      -0.0007182134264182295    0.000178527320202409       0.00026077655470016514     0.00030373522300148573     
Lambda        AB|MEGACAMPSF|r           4192.244010154841     All      -0.0007924943199257013    7.221009922140074e-05      -0.0025775191350893563     0.00016663983636477532     
MWEBV         All|All|All               All                   All      -0.40554683102431066      -2.3280618903454453        0.18613443628888726        -0.6179200786806376        
Redshift      All|All|All               All                   All      7.413866196870146         0.4145871978735727         9.15801114559901           -1.871215463208309         
