#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8421.96266051196      All      0.32509068733465635        -0.09746268417103465       0.2804511016129889        -0.12512429009273993       
Zeropoint     AB|PS|PS_g                4764.296179877459     All      -1.119314665129231         1.159583827534938          -0.1901034631833544       0.7338287681459444         
Zeropoint     AB|PS|PS_r                6050.332719830334     All      1.1856794716945456         0.11579542154018796        0.5303478510437198        -0.3248294444825303        
Zeropoint     AB|PS|PS_i                7328.2632848156945    All      0.6074381541106151         -0.1799702387335067        -0.6127522292451648       -0.2838291362380161        
Check         All|All|All               All                   All      0.9988936480105862         0.9979463261705845         0.007943260228189586      4.589733265808471e-05      
Lambda        AB|PS|PS_z                8421.96266051196      All      0.00034355422352799704     -9.920857118783504e-05     0.00013537232423193308    -0.00013818136361435092    
Lambda        AB|PS|PS_g                4764.296179877459     All      -0.00017992721124569718    -0.00019167114828669965    0.00042437570698803946    1.5112552057445905e-05     
Lambda        AB|PS|PS_r                6050.332719830334     All      -0.0002834073125207514     6.003284324298448e-05      -0.0008963039710003483    7.187182792725998e-05      
Lambda        AB|PS|PS_i                7328.2632848156945    All      -0.00018042268791463445    1.3750705420940398e-05     -0.0024693835795310103    -4.6948585361620075e-05    
MWEBV         All|All|All               All                   All      -0.6971224537095071        -4.046219369653503         -0.06398322505788998      -1.093766325008771         
Redshift      All|All|All               All                   All      6.342858388032961          0.7543828427939658         4.979502758309189         -1.5981380023943441        
