#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8421.96266051196      All      0.34302560778187335        -0.10285764229580607      0.3464115614053631        -0.1297800866987442        
Zeropoint     AB|PS|PS_g                4764.296179877459     All      -1.1270297261803803        1.1247629022970607        -0.15484308885723302      0.7265730049850163         
Zeropoint     AB|PS|PS_r                6050.332719830334     All      1.1651961363714542         0.1338052807938972        0.2732911953573419        -0.323762202545147         
Zeropoint     AB|PS|PS_i                7328.2632848156945    All      0.6075002082552612         -0.15690658723750417      -0.49106543135214037      -0.2709064363478855        
Check         All|All|All               All                   All      0.9886922262282084         0.9988039535576476        -0.026205763446668362     0.0021242793932396142      
Lambda        AB|PS|PS_z                8421.96266051196      All      0.0003238816163317456      -8.695226023986207e-05    0.00010246703118147482    -0.00012924947664486828    
Lambda        AB|PS|PS_g                4764.296179877459     All      -8.314561033503305e-05     -0.000285116125485744     0.0005397236196574004     -4.170305513278407e-05     
Lambda        AB|PS|PS_r                6050.332719830334     All      -0.0004144229673390254     8.014708444166228e-05     -0.0011920465273973072    0.0001079021750903116      
Lambda        AB|PS|PS_i                7328.2632848156945    All      -0.00022870136950974484    7.13163357341526e-05      -0.0028166966867859073    -2.7970599624029938e-05    
MWEBV         All|All|All               All                   All      -0.705241552795159         -4.039720734748542        -0.0890246206108447       -1.0901223306114232        
Redshift      All|All|All               All                   All      7.296370877347734          0.6951858205466621        8.648331285716148         -1.7642878406051985        
