#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8559.44417133341      All      0.07918511770310928        -0.00824735233475593       -0.012091106380696104      -0.02901920247948553       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5982.267726385772     All      0.6032784260945604         0.014130078313812078       -0.07232242039267867       -0.1951324167343796        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5168.543132954749     All      0.2499912779021681         0.18276473456841913        0.05492345289503653        -0.019446915402973608      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7314.238314285516     All      0.23562034566991324        -0.019006794785703107      0.22807748120803606        -0.07276238616616137       
Zeropoint     AB|SDSS|SDSS_r                           5936.764357692079     All      0.31823198996257485        0.05937979545933558        -0.8142568751799417        -0.12065322032667469       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4621.463219671562     All      -0.12191350592891709       0.3478586991721322         0.6767885176831842         0.18322222541486827        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3457.295334947486     All      -0.11280750314039427       0.055530626295841046       0.058461435662870986       0.057442132287312264       
Zeropoint     AB|SDSS|SDSS_g                           4543.322535394754     All      -0.0842586125352164        0.11927352726628371        -0.030018227715122858      0.06495753830766393        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4230.535037501265     All      -0.29566299297707743       0.18455467110740642        -0.35616949327175185       0.1405284832267928         
Zeropoint     AB|SDSS|SDSS_i                           7199.364424433788     All      0.2576239748538234         -0.0014305069236719703     0.36433112836299353        -0.06812414240774112       
Zeropoint     AB|SDSS|SDSS_u                           3455.1356778457152    All      -0.13342425243784312       0.06382906760258322        -0.062415858209419195      0.06146656269242212        
Check         All|All|All                              All                   All      0.995864265166701          0.9986365457416824         0.03530803466251087        0.002478658411643464       
Lambda        AB|SDSS|SDSS_z                           8559.44417133341      All      -1.8006362135511882e-05    1.5834205274820142e-06     1.6039609840603357e-05     7.0968108179663055e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5982.267726385772     All      -6.338355919679895e-05     -5.1092185252883795e-06    -0.00030699874838876416    5.281925779234487e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5168.543132954749     All      4.625562627826744e-06      3.9497816870477596e-05     -0.0005229282564485248     -1.1976845892767771e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7314.238314285516     All      -9.79013064160443e-05      -6.034840790455749e-06     -0.00041099307918524946    1.1583196670100772e-05     
Lambda        AB|SDSS|SDSS_r                           5936.764357692079     All      -8.249314425726453e-06     -2.106499682914161e-07     -6.054327665121912e-05     -8.331089374005924e-08     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4621.463219671562     All      -9.633875765538243e-05     4.822576851297543e-06      -0.0008034199540415622     -2.9013678166169627e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3457.295334947486     All      -0.00035638031109626854    0.0001615026395417846      -4.7924420626173375e-05    0.00016655286808217178     
Lambda        AB|SDSS|SDSS_g                           4543.322535394754     All      3.439645431031282e-06      7.368682492337043e-07      5.176810908049108e-05      1.4297894990976226e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4230.535037501265     All      -0.00023927511855424138    7.363306524004067e-05      -0.0007225654724917342     6.967971142114478e-05      
Lambda        AB|SDSS|SDSS_i                           7199.364424433788     All      -0.0001290756072449035     2.5496237816402132e-06     -0.00023590183810541873    3.234745251013074e-05      
Lambda        AB|SDSS|SDSS_u                           3455.1356778457152    All      -8.062988739275236e-05     3.545406712352818e-05      -2.0572229922478984e-05    3.6894318898013325e-05     
MWEBV         All|All|All                              All                   All      -1.0091177923396684        -3.806279390608047         0.04202033164958652        -0.909252382030093         
Redshift      All|All|All                              All                   All      6.605021490396463          -0.227189472457745         11.46443214812075          -1.7138709311275784        
