#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8559.44417133341      All      0.0819215038208893         -0.008482721064595466      0.0021810350611201185      -0.029350300678212156      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5982.267726385772     All      0.6132277176192266         0.01212352855635146        -0.057379051395984454      -0.19835997364955213       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5168.543132954749     All      0.26814246637896944        0.1807712360084146         0.14363606733395978        -0.022049866171271124      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7314.238314285516     All      0.25075822522452945        -0.01973744477208328       0.24083893564022213        -0.07736180319671085       
Zeropoint     AB|SDSS|SDSS_r                           5936.764357692079     All      0.33067831258484404        0.05773987726191976        -0.8068084257292512        -0.12490918229571064       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4621.463219671562     All      -0.1557140899578376        0.3505756027984752         0.5163280769821847         0.18795656003350883        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3457.295334947486     All      -0.13480541146773972       0.06534012007861634        0.07677492710059877        0.06862009659906779        
Zeropoint     AB|SDSS|SDSS_g                           4543.322535394754     All      -0.08717364108981128       0.11548914070633742        -0.04411853246949936       0.06404512796346166        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4230.535037501265     All      -0.2867383088635069        0.17776142826351204        -0.31034492860373497       0.13745357716882972        
Zeropoint     AB|SDSS|SDSS_i                           7199.364424433788     All      0.267034160247528          -0.0030350471876161578     0.34981050203793135        -0.07235998979021094       
Zeropoint     AB|SDSS|SDSS_u                           3455.1356778457152    All      -0.15272416111467219       0.06856532246777292        -0.10590079763479913       0.06735539879689825        
Check         All|All|All                              All                   All      0.994606773382419          0.9971110431171049         0.005017808322747855       0.001039644780098492       
Lambda        AB|SDSS|SDSS_z                           8559.44417133341      All      -1.8323177584943418e-05    1.5935084317566082e-06     2.2999417270422904e-05     7.51387823542279e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5982.267726385772     All      -0.00010416380922465975    -6.059459468586368e-06     -0.00028565461381319644    1.9208360802496898e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5168.543132954749     All      2.1839403115856788e-05     2.3843661947286063e-05     -0.000490511511177118      -2.123642286639606e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7314.238314285516     All      -0.0001060214803213239     -4.826067546926226e-06     -0.0004195247407969281     1.4241212796488118e-05     
Lambda        AB|SDSS|SDSS_r                           5936.764357692079     All      -3.9345942844539574e-05    -2.9961009260334677e-06    -1.8276305093976127e-05    1.1024751830824553e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4621.463219671562     All      -0.00012501993386645748    -3.528401562320114e-05     -0.0010258419428258124     -1.6548673590840384e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3457.295334947486     All      -0.00031155882502514746    0.00013609957889188577     6.333250460845746e-05      0.0001486433084848182      
Lambda        AB|SDSS|SDSS_g                           4543.322535394754     All      1.4337581092519269e-05     -1.2357639167791979e-05    4.873308682508836e-05      -6.520777643411773e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4230.535037501265     All      -0.00018692533663755556    5.529584436467219e-05      -0.0006266046119441531     5.093692155240351e-05      
Lambda        AB|SDSS|SDSS_i                           7199.364424433788     All      -0.00013409910930288623    3.4597344776771534e-06     -0.00023966509613947525    3.4112288472135266e-05     
Lambda        AB|SDSS|SDSS_u                           3455.1356778457152    All      -6.344865773953126e-05     2.8296874746097153e-05     2.90204633111402e-05       3.117958826034353e-05      
MWEBV         All|All|All                              All                   All      -1.009319437464265         -3.812409963525809         0.027113366121722996       -0.9118488582745499        
Redshift      All|All|All                              All                   All      6.5347924977615595         0.23353777647265872        9.379287904872266          -1.6339714261633227        
