#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.83629382822473           -0.11043937943595594       -0.2955247908467501        -0.6473029654744922       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -1.011283547516058         0.45208099384295153        -1.616551088816559         0.4045267238407625        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.6241387132341177        0.38425613381294355        0.7351170489280593         0.3612722745114676        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.7961028963224419         0.2719629155795822         1.1721739723118223         -0.11842089463717921      
Check         All|All|All                      All                  All      0.9969744637969965         0.9978606637995213         -0.004784858423427574      7.513824055870033e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -7.121383256102015e-05     3.28473042858043e-06       -0.00013397388604694872    1.8287993681162415e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.00034482199942324803    -1.4692150663947382e-05    -0.0021105426978553143     1.3350325457043193e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.0002658066282521558     0.00016477211368587852     0.00031706319884844717     0.00015440273621507219    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.0003054003925168084      6.270714136449725e-05      0.0006860980171885839      -4.843577289820037e-05    
MWEBV         All|All|All                      All                  All      -0.8435553942078804        -3.83408574029227          0.035496547811121604       -0.9725300713466665       
Redshift      All|All|All                      All                  All      3.600161159414437          -0.08850939650324463       1.2104699946631075         -1.1475036373448977       
