#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.792686282611579          -0.06443469946217917       -0.12348043013878929      -0.6104357657989486        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -1.1341937279137437        0.45427124569741295        -2.4218359769247355       0.40933988429070617        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.5765350683975027        0.36961316104955344        0.9031902927743474        0.34849684024662597        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.9140965351646799         0.23845218489766395        1.6324253326959415        -0.14723194778100065       
Check         All|All|All                      All                  All      0.9960540214650125         0.9979018921824512         -0.009700781593235952     0.0001690109573828369      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -0.00014576516416303685    9.947655936849356e-06      0.00036592939468942613    6.705053653822072e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.000249777671376587      -5.8763977558101456e-05    -0.001991622032291813     -2.6657499871496046e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.000147202009764604      0.0001167364632362821      0.000401858677554747      0.00010390655108335064     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.00025888616603255186     5.076770702351508e-05      0.0007701636093697421     -3.3422164340515344e-05    
MWEBV         All|All|All                      All                  All      -0.8477873228143431        -3.8328529082925833        0.03751098482311921       -0.9706601239600889        
Redshift      All|All|All                      All                  All      3.7846369220090277         0.02636385632959204        -4.205351258368029        -1.411858693184318         
