#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_B
@MAGSYS  Linear_AB11_off
53249.29  15.769  0.006
53250.31  15.859  0.008
53251.33  15.961  0.009
53252.36  16.069  0.007
53253.28  16.142  0.014
53256.25  16.573  0.007
53257.23  16.715  0.008
53258.26  16.858  0.008
53259.28  16.995  0.007
53260.3  17.126  0.008
53261.21  17.239  0.011
53262.2  17.388  0.009
53263.26  17.515  0.014
53264.25  17.612  0.014
53265.29  17.712  0.013
53266.23  17.783  0.009
53267.24  17.856  0.011
53268.24  17.921  0.009
53269.18  17.947  0.017
53270.18  18.016  0.011
53271.29  18.041  0.011
53272.28  18.07  0.013
53273.29  18.107  0.012
53274.21  18.104  0.016
53275.24  18.152  0.023
53276.24  18.18  0.026
53277.19  18.189  0.032
53279.2  18.208  0.019
53280.21  18.22  0.016
53281.22  18.273  0.016
53284.33  18.305  0.013
53287.19  18.323  0.009
53289.27  18.356  0.01
53291.19  18.346  0.01
53293.23  18.382  0.026
53294.29  18.444  0.01
53295.25  18.439  0.01
53299.19  18.472  0.011
53305.25  18.549  0.019
53324.19  18.778  0.01
53329.2  18.854  0.014
53331.12  18.89  0.019
53341.11  19.021  0.012
53345.13  19.124  0.014
53349.11  19.141  0.012
53365.12  19.451  0.035
