#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4332.720254374749     All      -0.32631823102954527       0.27228089365429753        0.15926729862424432        0.20209079628513496        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4358.3095290671845    All      -0.0635700948336669        0.04076217363158108        -0.038947285453170576      0.03224641379744743        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5307.434087583546     All      -0.010173602350855033      0.043655220887650614       -0.13358563526603745       0.011572505279172154       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8108.887392807267     All      0.03494162677041332        -0.0042804260589335286     -0.0054371228191954475     -0.013018546793347434      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6278.8684762024695    All      0.08684338395089619        0.0005772378007584678      -0.09009483907399086       -0.03212024075025227       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5298.424004309365     All      0.28629989803541006        0.09751507138204829        -0.08115885351746296       -0.06511517576066912       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7498.038588582856     All      0.1902035941427945         -0.04023062371460995       0.0005019582605934299      -0.07503760572498475       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4336.844603433586     All      -0.3569501568515875        0.2123424771604654         -0.1509404730017787        0.17870156000352092        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6335.899407979604     All      0.49849086646185853        -0.016401269626697967      0.1921613018479446         -0.1591420318356313        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6132.596769791742     All      0.5743332990087394         -0.07972029821372573       -0.09554976226078367       -0.217310721385079         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3544.174077966996     All      -0.1542933396847811        0.0684230759829596         -0.02386523993264469       0.07148106768630892        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7834.260340793428     All      0.14828350148918937        -0.021166941386852045      0.051765999854283644       -0.05288550517785165       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5340.389397968497     All      0.3027607853903283         0.1839202379374072         0.32950667656722954        -0.024005906437527903      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4737.596461566576     All      -0.21509279315570673       0.23894966676589746        -0.11314512700557458       0.14284741938822165        
Check         All|All|All                              All                   All      0.9957587373434873         0.9966264962022464         0.00047889682365662156     0.0003040285744625726      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4332.720254374749     All      -0.00013834574068794577    3.3246255709408834e-05     -0.00023983848142826068    4.519026854777944e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4358.3095290671845    All      4.6385648795504885e-06     -2.9702003506889725e-06    2.986868519819335e-06      -2.3451349325811767e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5307.434087583546     All      -2.0299822766267774e-07    1.7794085165437897e-06     -4.610366326016992e-06     4.399956213492311e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8108.887392807267     All      -1.1708485130650586e-05    1.4303051384112564e-06     1.8119269679839472e-06     4.360594222695649e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6278.8684762024695    All      -9.686959383508375e-06     -9.092749556305259e-08     8.537739700975595e-06      3.506743396410091e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5298.424004309365     All      0.00015120730161623325     -1.2688314981285027e-05    -0.0006529562352465813     -8.252463219097718e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7498.038588582856     All      -1.279926544202007e-05     -1.7817590801161617e-05    -0.0001167003572572589     -6.842434626510105e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4336.844603433586     All      -0.000285867247597066      0.00014151378698911118     -0.0002589897637958084     0.00012765453972187342     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6335.899407979604     All      -0.00013096207706030357    -1.0778740803905797e-05    -0.00016995565911837978    3.156332604468396e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6132.596769791742     All      -5.834359257763541e-05     -2.8482389735923753e-05    -0.00024249873414779503    -1.0948285786763082e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3544.174077966996     All      -0.00041295006064014637    0.00018151717524176854     -7.67563201811995e-05      0.0001902122540772282      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7834.260340793428     All      -8.927638596625613e-06     4.113480395636822e-06      1.8922096777916233e-05     5.092327769002267e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5340.389397968497     All      0.00010214226437410583     -6.108570279989317e-06     -0.00012474581677759765    -4.0827691059487304e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4737.596461566576     All      -0.00015704115076443307    9.94025469757925e-05       -0.0003839976937361219     6.639609566722374e-05      
MWEBV         All|All|All                              All                   All      -0.9393088163041292        -3.999049168646085         -0.0018104257377553983     -0.9967388862110842        
Redshift      All|All|All                              All                   All      6.008510735364671          -0.3462554836822562        3.5804933371935346         -1.9101754501144665        
