#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7046.774146339114    All      0.8561908216855301         -0.13953783853395407      1.531881233647499         -0.2559807593517188       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4075.834508867491    All      -0.9225574176086139        0.4753872455154351        0.1932105434993863        0.46397866696529805       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4978.9598187213      All      0.060164321509580065       0.6195087785449971        0.6161000125949985        0.20969060545958693       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5763.510531019944    All      1.0027132781376107         0.04215375608858096       -2.332383702513885        -0.41696941019330036      
Check         All|All|All                              All                  All      0.996511003724107          0.9975119416150591        0.008808087227998751      0.0007191028798657628     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7046.774146339114    All      -0.0006548152221142662     0.00011197582736153772    -0.0012838802652667348    0.00019247539190041083    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4075.834508867491    All      -0.000707304001735168      0.00028197922472495833    -0.000703845582845866     0.00029083269759291294    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4978.9598187213      All      -0.0001912092627724624     -5.053713056675831e-05    -0.001790850227073457     -3.40958791216155e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5763.510531019944    All      -0.00023128785993106225    1.0531219509251299e-05    -0.0003257676834793733    6.423091426828646e-05     
MWEBV         All|All|All                              All                  All      -0.7453833722268097        -3.7246347781870526       0.14983028149557748       -0.9637539600636316       
Redshift      All|All|All                              All                  All      8.628966619276774          0.14924111775123095       22.907694960688712        -1.7398603556713972       
