#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7046.774146339114    All      0.9089170436507185        -0.13842609709513454      1.8264955719935916         -0.25964600891945633      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4075.834508867491    All      -0.7771193769064739       0.47479940240506835       0.6454231187656534         0.436593402795582         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4978.9598187213      All      -0.041641542692525624     0.6389715203907187        0.4912210971832698         0.2436190076212874        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5763.510531019944    All      0.907365526204462         0.021909042036760695      -2.9472466051050583        -0.4199443873182718       
Check         All|All|All                              All                  All      0.9975216502561809        0.9972538677374132        0.015893182837456443       0.000622014179141317      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7046.774146339114    All      -0.0006448577901089525    9.166049190798039e-05     -0.001286829895550715      0.00018248292714217752    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4075.834508867491    All      -0.0009859599479221679    0.0005296038845593223     -0.00010573305019621245    0.0004889506203923808     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4978.9598187213      All      -0.0002208476290579662    0.00014480184402331157    -0.001221637496288729      6.45879922116358e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5763.510531019944    All      1.6836467626934353e-05    1.109024200801045e-05     -0.0007612202882172992     -3.584150003410225e-05    
MWEBV         All|All|All                              All                  All      -0.7258346447817852       -3.733332152788371        0.16977232633312855        -0.9720647228986801       
Redshift      All|All|All                              All                  All      7.6681237877058415        -1.521314148997277        20.270399852512078         -2.0887274126739297       
