#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6891.585505486416     All      0.19562781382657932        0.025575876185257584       0.3898795462835257        -0.03799297713370642       
Zeropoint     AB|SDSS|SDSS_r            4779.950470847626     All      0.8281609349316501         0.4790742492456701         0.8991982794792686        -0.07358192879391535       
Zeropoint     AB|SDSS|SDSS_i            5796.525396159374     All      1.074787000373462          0.1209631443650494         -0.8868057363204257       -0.35026587683528043       
Zeropoint     AB|SDSS|SDSS_g            3658.0290851758223    All      -1.1005640414235076        0.37320293293756635        -0.39437019318499156      0.46245545859763204        
Check         All|All|All               All                   All      0.9980117077081835         0.9988162027335434         0.007901896257377139      0.0006146758347298498      
Lambda        AB|SDSS|SDSS_z            6891.585505486416     All      -0.00010825215162803335    -1.4778712446766882e-05    -0.0002445440548814971    1.95344963070037e-05       
Lambda        AB|SDSS|SDSS_r            4779.950470847626     All      -0.00011965377571555112    -4.646402343280026e-05     -0.0008861964599410061    -1.5706567664223772e-05    
Lambda        AB|SDSS|SDSS_i            5796.525396159374     All      -0.00024360864786664009    -1.3151075871249037e-05    0.00040645871653775416    9.320599874953205e-05      
Lambda        AB|SDSS|SDSS_g            3658.0290851758223    All      -0.002030892276174778      0.0005357025398262139      -0.0019470502896972895    0.0007491364580822357      
MWEBV         All|All|All               All                   All      -0.5553617925068557        -2.8787652916626882        0.0822040816048345        -0.753140566767417         
Redshift      All|All|All               All                   All      5.738477121194027          -0.8983553083709239        -0.6237395290898309       -2.189669298061973         
