#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6891.585505486416     All      0.23266758666968973        0.031117535074187685      0.46261923280892236        -0.0450069109774201        
Zeropoint     AB|SDSS|SDSS_r            4779.950470847626     All      0.8956753113621728         0.4961386643172361        0.8935483175302875         -0.09026727281540303       
Zeropoint     AB|SDSS|SDSS_i            5796.525396159374     All      1.0456924225516986         0.12193521523649054       -0.6902919194266716        -0.33170267109988993       
Zeropoint     AB|SDSS|SDSS_g            3658.0290851758223    All      -1.1754839867504758        0.34938656982994587       -0.6614200017978161        0.46718437014140746        
Check         All|All|All               All                   All      0.9985513338330853         0.9985779844578602        0.004455629114722193       0.00020751524869438986     
Lambda        AB|SDSS|SDSS_z            6891.585505486416     All      -7.494378113046389e-05     -8.914183583557798e-06    -0.00015179941619812996    1.4733901474841135e-05     
Lambda        AB|SDSS|SDSS_r            4779.950470847626     All      -0.00022306114390230043    -9.594850733948548e-05    -0.0012127581600841423     -1.2715059077756545e-05    
Lambda        AB|SDSS|SDSS_i            5796.525396159374     All      -0.0003072545965365301     -2.781465246234149e-05    0.00032153243478901195     0.00010537129890562973     
Lambda        AB|SDSS|SDSS_g            3658.0290851758223    All      -0.0017121724295640446     0.0004700691294117766     -0.0010300307852416624     0.0006648623261881803      
MWEBV         All|All|All               All                   All      -0.5932074679639907        -2.8784763820006276       -0.01984554508318668       -0.7452728839456135        
Redshift      All|All|All               All                   All      5.080746443627632          -0.5757640036462064       -3.30296195155922          -1.9899075682858147        
