#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4712.245203885892     All      0.8488581120631215         0.45900968298315803        0.4885680616343056         -0.1051839103049067       
Zeropoint     AB|SDSS|SDSS_g            3606.2151935306856    All      -1.0864521278041972        0.3370038044225865         -0.2779250382429047        0.45126390944218425       
Zeropoint     AB|SDSS|SDSS_i            5714.420926292797     All      1.0641227210523683         0.17083149924381758        -0.5909367311808675        -0.3173451315896839       
Zeropoint     AB|SDSS|SDSS_z            6793.97013493304      All      0.1707927040312917         0.03198198445222289        0.38408695559389155        -0.028075181323356894     
Check         All|All|All               All                   All      0.9973214093425844         0.998826971101785          0.003793247804424915       0.0006596862242367399     
Lambda        AB|SDSS|SDSS_r            4712.245203885892     All      -0.00025385179511024444    -0.00010548995808623072    -0.0012785147240867841     -8.727908852076773e-06    
Lambda        AB|SDSS|SDSS_g            3606.2151935306856    All      -0.001854424169752552      0.000428531495528045       -0.0021200129278912253     0.0006490273270877847     
Lambda        AB|SDSS|SDSS_i            5714.420926292797     All      -0.00025084126081004274    -3.428720491403348e-05     0.0003556197821942807      8.640845799890089e-05     
Lambda        AB|SDSS|SDSS_z            6793.97013493304      All      -8.913193667279716e-05     -1.6772249703288636e-05    -0.00020341171500964345    1.449260000429556e-05     
MWEBV         All|All|All               All                   All      -0.5918647813037472        -2.809045648437447         0.10767378013834396        -0.7174037652295593       
Redshift      All|All|All               All                   All      6.6061379770467505         -0.2358226002943553        -2.4926021576397934        -2.339885040044872        
