#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3980.1247027106783    All      -1.1472786311666892        0.33870296636688835        -0.7626720075538628       0.4499985447878496        
Zeropoint     AB|MEGACAMPSF|i           4866.322365312676     All      1.4678218460925967         0.5016123593108546         0.17003431266729138       -0.30713836675776         
Zeropoint     AB|MEGACAMPSF|z           5605.467055871303     All      0.9654631408988372         0.09346928299542867        0.3724542116089454        -0.2674161664211671       
Zeropoint     AB|MEGACAMPSF|g           3124.1765460273364    All      -0.29734263824947577       0.06653824635645122        0.2321134483874259        0.12888613258469198       
Check         All|All|All               All                   All      0.9886637175752689         1.0003228550296228         0.011929965109799906      0.004330144193614466      
Lambda        AB|MEGACAMPSF|r           3980.1247027106783    All      -0.0009153261923398562     0.00019559356298104894     -0.0012625092327569415    0.0003055231239196105     
Lambda        AB|MEGACAMPSF|i           4866.322365312676     All      -0.00016553275781631572    -0.00010717391075172185    -0.001130767947879308     -3.14515836465379e-05     
Lambda        AB|MEGACAMPSF|z           5605.467055871303     All      -0.0001155347498091022     -1.0475642616839386e-05    -3.202285368803639e-05    3.279217467003317e-05     
Lambda        AB|MEGACAMPSF|g           3124.1765460273364    All      -0.0008190208160318766     0.00017471518318016292     0.0005326658314351287     0.00034746293749793235    
MWEBV         All|All|All               All                   All      -0.3153172452414146        -2.1635305707640384        0.20409603175799385       -0.592916016016866        
Redshift      All|All|All               All                   All      2.565881810270633          0.1078628985137442         -0.6760409720871589       -0.8308262296198142       
