#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3980.1247027106783    All      -0.9648454722148595        0.3034700528001366         -0.78732693994783          0.37799730757073075        
Zeropoint     AB|MEGACAMPSF|i           4866.322365312676     All      1.4684983933557418         0.5108274895658127         0.2597807912469774         -0.3003520962179457        
Zeropoint     AB|MEGACAMPSF|z           5605.467055871303     All      0.9046139468009522         0.10748058183445153        0.3605286034994215         -0.24356382615214334       
Zeropoint     AB|MEGACAMPSF|g           3124.1765460273364    All      -0.402282924193506         0.07754455343835787        0.18857903825382216        0.1647110116848982         
Check         All|All|All               All                   All      1.0059839437483287         0.9993226776387587         0.02156149305239108        -0.001207603114460054      
Lambda        AB|MEGACAMPSF|r           3980.1247027106783    All      -0.0008490739742279418     0.00020550562171604405     -0.0012918059755118545     0.0002858639014002807      
Lambda        AB|MEGACAMPSF|i           4866.322365312676     All      -0.00016324443365838196    -9.309696593860827e-05     -0.0007992514714468855     -1.2817584321970563e-05    
Lambda        AB|MEGACAMPSF|z           5605.467055871303     All      -0.0001570626028317993     -2.1576208106864964e-05    -0.00011531080875298005    3.898658434064368e-05      
Lambda        AB|MEGACAMPSF|g           3124.1765460273364    All      -0.0007922830704581524     0.00014241831711805076     0.00028138588181646657     0.0003170199522426903      
MWEBV         All|All|All               All                   All      -0.36698543998244193       -2.152158521344205         0.2510084809158375         -0.5702882473864148        
Redshift      All|All|All               All                   All      1.685977629216198          0.1635303469878835         -0.36022308446277407       -0.5119862686644022        
