#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4768.6364577173135    All      1.9327745253766608         0.645048995695241          0.7727143520723678        -0.38497187734446436      
Zeropoint     AB|MEGACAMPSF|z           5492.499856840938     All      0.5003892013255185         0.037290385163046835       -0.06523801526419071      -0.1537577929165035       
Zeropoint     AB|MEGACAMPSF|r           3899.799728404909     All      -1.1647992569043488        0.29081254488261266        -0.7614169874006871       0.4401621089619112        
Zeropoint     AB|MEGACAMPSF|g           3058.856335395186     All      -0.27048644350727674       0.02328941715283861        0.034376597948471144      0.09722653243617457       
Check         All|All|All               All                   All      0.9978780262905537         0.9964413428937391         -0.01956405264403882      -0.0013410288628820655    
Lambda        AB|MEGACAMPSF|i           4768.6364577173135    All      -0.0003247756290782542     -0.00014010346374352317    -0.0005468466139692536    3.575054697750595e-05     
Lambda        AB|MEGACAMPSF|z           5492.499856840938     All      -3.8309121692265215e-05    -8.337884902493036e-06     9.132749330433708e-06     1.017017050424808e-05     
Lambda        AB|MEGACAMPSF|r           3899.799728404909     All      -0.001349610348432202      0.0002800912134827439      -0.0016015344361132058    0.0004593782880024224     
Lambda        AB|MEGACAMPSF|g           3058.856335395186     All      -0.0005432170824808244     3.6868722707195683e-05     -6.092569312618269e-05    0.0001862341971432355     
MWEBV         All|All|All               All                   All      -0.3916340337795854        -2.0999943511803565        0.21864411090830593       -0.5467120762887079       
Redshift      All|All|All               All                   All      1.9499604173608938         0.2416134055083674         1.2364946747359662        -0.5012857463888271       
