#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4768.6364577173135    All      1.9542627105799377         0.6067933674081871        0.7879463839294933        -0.4037526672877557        
Zeropoint     AB|MEGACAMPSF|z           5492.499856840938     All      0.6722189418562571         0.040384437398444106      -0.14964706716857043      -0.2124873461432922        
Zeropoint     AB|MEGACAMPSF|r           3899.799728404909     All      -1.3598648264845306        0.3234106476011078        -0.7478516969479059       0.5149250135517184         
Zeropoint     AB|MEGACAMPSF|g           3058.856335395186     All      -0.28465653891846504       0.029043898799940848      0.11750074980184975       0.10742607180497046        
Check         All|All|All               All                   All      0.981960287033199          0.9996323512076799        0.007948369614866765      0.006111071925640893       
Lambda        AB|MEGACAMPSF|i           4768.6364577173135    All      -0.00010696068701463925    -9.665516840687447e-05    -0.0006606576034847529    -2.6125268100862008e-05    
Lambda        AB|MEGACAMPSF|z           5492.499856840938     All      -6.366977539407318e-05     -8.994908188671376e-06    -7.759559535168765e-05    1.4346667961635374e-05     
Lambda        AB|MEGACAMPSF|r           3899.799728404909     All      -0.0015707679537151564     0.0002933324319613729     -0.0016302850789262522    0.0005344466872519977      
Lambda        AB|MEGACAMPSF|g           3058.856335395186     All      -0.0008164316368278084     7.360482837079555e-05     0.00017803714152199888    0.0002978591379762599      
MWEBV         All|All|All               All                   All      -0.3285638204907404        -2.1096864584837505       0.15516587034191562       -0.5732459002463087        
Redshift      All|All|All               All                   All      2.443500969231853          -0.0032222917434765463    0.9703133846872547        -0.7536776310336076        
