#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4339.753048133027    All      -0.644074765550108         0.3207326476999839         -0.44089012156702156       0.2945946145261922        
Zeropoint     AB|CNIa02|SDSS_g                      4684.799802742752    All      -0.6191803160081667        0.7520976987183126         0.5093444393382136         0.46940006609635654       
Zeropoint     AB|CNIa02|SDSS_i                      7423.549786022427    All      0.5488868340227989         -0.0627654970364766        0.19835879068259885        -0.19038344519080114      
Zeropoint     AB|CNIa02|SDSS_r                      6121.63285242735     All      1.0711681445340437         -0.09291746634909614       -0.016700507973998847      -0.3799262477119146       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5429.259381778717    All      0.6412616300865626         0.0807594323755545         -0.24732771750863652       -0.19361110586634897      
Check         All|All|All                           All                  All      0.9980615270851307         0.9979068154082782         0.0027848829711555334      7.38818534839758e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4339.753048133027    All      -0.00025635767387399336    5.423317114358266e-05      -0.0006532945176852459     7.201612250641606e-05     
Lambda        AB|CNIa02|SDSS_g                      4684.799802742752    All      -0.00014685130507874903    -0.00010848724771180867    -0.001456185337273863      -5.248642796077489e-05    
Lambda        AB|CNIa02|SDSS_i                      7423.549786022427    All      -6.819226391758626e-05     9.012345520783649e-06      -1.0246533077316372e-05    2.4690825539666957e-05    
Lambda        AB|CNIa02|SDSS_r                      6121.63285242735     All      -3.3155377650759098e-06    -1.4685971079753914e-05    -0.00013612950817393343    -9.778558936321462e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5429.259381778717    All      0.0001254553372853869      -1.1955797497252674e-05    -0.000260035971171392      -5.636353838212387e-05    
MWEBV         All|All|All                           All                  All      -0.868447062834869         -4.065271808303539         0.031482904468219726       -1.0399060545786722       
Redshift      All|All|All                           All                  All      4.032235002341089          0.7350849030066442         3.4369021523417516         -0.9206171024311482       
