#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4339.753048133027    All      -0.6668800996815457       0.3384448814201413         -0.41148359419573843      0.3091047976211306         
Zeropoint     AB|CNIa02|SDSS_g                      4684.799802742752    All      -0.5560110293456696       0.7472019518265149         0.6763960082519227        0.45468378967514594        
Zeropoint     AB|CNIa02|SDSS_i                      7423.549786022427    All      0.5352496960321707        -0.05365644337409492       0.2388157326462692        -0.18116885473411296       
Zeropoint     AB|CNIa02|SDSS_r                      6121.63285242735     All      1.0437693784730897        -0.09702415718928492       -0.09265646016769491      -0.3757288178193319        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5429.259381778717    All      0.6415952543119001        0.06277171751261079        -0.408570122277474        -0.2067744767268089        
Check         All|All|All                           All                  All      0.9977231997899451        0.9977379501958872         0.0025015642572845387     0.00011643801602281845     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4339.753048133027    All      -0.0003081358126473836    6.758485229910561e-05      -0.0006504396218487594    9.335844845381406e-05      
Lambda        AB|CNIa02|SDSS_g                      4684.799802742752    All      -9.83005452931694e-06     -0.00013502758834643472    -0.0015110950783608422    -0.00010821418877933328    
Lambda        AB|CNIa02|SDSS_i                      7423.549786022427    All      -9.193333960889771e-05    1.903332184049936e-05      5.210917983656436e-05     3.8470885696093286e-05     
Lambda        AB|CNIa02|SDSS_r                      6121.63285242735     All      -3.362985813220506e-05    -1.245895175835025e-05     -0.0001609413039578969    -2.860105108720095e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5429.259381778717    All      5.3148354341603334e-05    -1.4238364345073705e-06    -0.0002909613415491199    -3.0760226243759e-05       
MWEBV         All|All|All                           All                  All      -0.8533426146098901       -4.0666126925298585        0.044770522145654024      -1.0446698750443042        
Redshift      All|All|All                           All                  All      4.171984612904555         0.7294551377762026         3.5668615053572994        -0.9621724589232581        
