#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7704.288163705838    All      0.9373193130340993         -0.04260985233068837      1.2206402062567205         -0.2647236016637189       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4140.848292990564    All      -0.8172239576794816        0.5640296989699145        0.12582488407000825        0.45553474454950726       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5042.615545122626    All      -0.2967390077852936        0.5097381320833705        -1.1659706353044113        0.21066422242083382       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    5965.579461071468    All      1.1659268908995255         -0.03137420461856166      -0.16991596102859385       -0.3975829257912067       
Check         All|All|All                       All                  All      0.9892832384688496         0.999783774104035         0.010578493993723681       0.0038924395154155134     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7704.288163705838    All      -0.00010713701627297761    1.2263356081778896e-05    1.51049708395368e-05       3.9566694905463535e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4140.848292990564    All      -0.0003438881044513913     9.438224851090282e-05     -0.00037405096462260094    0.0001260668960289895     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5042.615545122626    All      -0.00024087818862424977    -7.353564434493428e-05    -0.001198261584951523      1.0360609579663888e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    5965.579461071468    All      -0.0003797043467985638     -4.123885065269905e-05    -0.0006751412088660749     8.01208959385057e-05      
MWEBV         All|All|All                       All                  All      -0.687716763697479         -3.7725320441667876       0.22464034790897203        -0.9948011572657262       
Redshift      All|All|All                       All                  All      6.4647722418694045         2.2577916974413803        15.183205755117562         -0.6927952299599083       
