#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7704.288163705838    All      0.9282518645106708         -0.07754798236030425       1.1154147016260276         -0.2778462647388304       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4140.848292990564    All      -0.5845864845207358        0.5346240311498995         0.4997598278381322         0.386865671688749         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5042.615545122626    All      -0.4557351436463182        0.6275758267708653         -0.43898147156784934       0.3332802960300939        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    5965.579461071468    All      1.1093647947810275         -0.08514036274194225       -1.1494708796878998        -0.44038523388931994      
Check         All|All|All                       All                  All      0.9972950311246443         0.9995115128185184         0.026722178208410607       0.0019144690906925943     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7704.288163705838    All      -8.846701076089183e-05     3.839225207801887e-06      -0.00021881511891195924    2.0302464064415408e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4140.848292990564    All      -0.00041090848882977714    0.0002470861125700233      -0.00019256188011769376    0.0002057373367503832     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5042.615545122626    All      -0.0002988288019651923     2.4796152426694162e-05     -0.0013536117563874512     4.5009818816549044e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    5965.579461071468    All      -0.0002613822906016836     -3.0245320424929438e-05    -0.0006753802369186873     4.5149797302571334e-05    
MWEBV         All|All|All                       All                  All      -0.6441135385310397        -3.787724586530583         0.2059729123048551         -1.0147859149882015       
Redshift      All|All|All                       All                  All      6.086492812098216          1.5186911616966725         18.068822234634883         -0.6815547245135387       
