#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4315.2943179495005    All      -0.9579927727068377        0.7313524653996595         0.4876101590957571        0.5720351237467804        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5279.310989452101     All      0.03460472832899825        0.4782613449145323         -0.9818866710225693       0.10069646340568147       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6058.16080403397      All      1.223089716130391          -0.09256428594923705       -0.4596902241106615       -0.4490656556295729       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7423.107279884913     All      0.6977283267018175         -0.1188657837412066        0.9538121544778939        -0.22342731116597805      
Check         All|All|All                                All                   All      0.997429998454369          0.9981837406237482         -0.0001545815595798139    0.0002386203569109957     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4315.2943179495005    All      -0.0003680332200749294     9.637239588025893e-05      -0.0008346105086622061    0.00011402735383337659    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5279.310989452101     All      -0.0001749474930624722     3.918828132380353e-05      -0.0020414310911287333    -2.134862706786995e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6058.16080403397      All      -0.00023251061276327418    -1.4805898696332433e-05    -0.0006874345022141568    4.023654308260661e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7423.107279884913     All      -0.00020707519351661861    3.200762697792599e-05      -0.0005195431184481587    5.469231702512928e-05     
MWEBV         All|All|All                                All                   All      -0.7899489036097713        -3.981092286199228         0.13642163180300534       -1.033372514342816        
Redshift      All|All|All                                All                   All      8.682909796125614          -0.22229681773957566       16.661206981895816        -2.157205621285167        
