#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4315.2943179495005    All      -0.9722102476704964        0.7729762356370351         0.4316459059888311        0.5877270268495118         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5279.310989452101     All      0.03873343682521063        0.45106629059237235        -1.0713218623140008       0.0865022015081901         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6058.16080403397      All      1.2180217655118992         -0.10746041227012171       -0.38376375976074684      -0.44887876640691965       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7423.107279884913     All      0.7115687705689658         -0.11713473684995535       1.024851072144295         -0.22420159952285107       
Check         All|All|All                                All                   All      0.9961137252355794         0.9994473771093304         0.001411356058378388      0.0011488624279312187      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4315.2943179495005    All      -0.0004401794987419108     0.00016374192927971873     -0.0006396428823645491    0.00016817275346504441     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5279.310989452101     All      -0.0002003955503523116     8.29124626962933e-05       -0.00212550816541192      -2.5689269097160242e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6058.16080403397      All      -0.00017529044519357415    -2.7972563236974126e-05    -0.000645697695101736     1.917175821747954e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7423.107279884913     All      -0.00022308228068649552    3.37283077580842e-05       -0.0005793077297171861    5.7799814160692254e-05     
MWEBV         All|All|All                                All                   All      -0.7968065249559375        -3.9796709642828887        0.1267976211354549        -1.0311052655476853        
Redshift      All|All|All                                All                   All      8.288716776151546          -0.7044408220437504        15.471982525434557        -2.2389237759644174        
