#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3181.8406001831445    All      -0.36230828019495687      0.1386623937884579        0.7047294028600006        0.1946314665065912         
Zeropoint     AB|PS|PS_i                4894.188935386006     All      0.8755470874658504        0.5456820796903017        1.52855949254499          -0.03923529553644464       
Zeropoint     AB|PS|PS_z                5624.617302262819     All      1.2315196262043822        0.12718775464755083       0.16162271763300431       -0.35250474242381424       
Zeropoint     AB|PS|PS_r                4040.721560066365     All      -0.7553667054394693       0.1872966644212326        -2.4025618609819746       0.1998411709792089         
Check         All|All|All               All                   All      0.9893917280358063        0.998828892547543         -0.007650247943979505     0.002732599525541196       
Lambda        AB|PS|PS_g                3181.8406001831445    All      -0.0009158717455153364    0.0003493154718640005     0.0017477708789941843     0.0004901080872317721      
Lambda        AB|PS|PS_i                4894.188935386006     All      -0.000276161332841814     -0.0001536499236516295    -0.0011490294840719448    -1.136991209370424e-05     
Lambda        AB|PS|PS_z                5624.617302262819     All      0.00049055118667664       5.075183073857925e-05     8.525631130859185e-05     -0.00013945252159243768    
Lambda        AB|PS|PS_r                4040.721560066365     All      -0.0004296765151012125    9.743980340442343e-05     -0.0014971107696098742    0.00010488994888243751     
MWEBV         All|All|All               All                   All      -0.37516011262870896      -2.1911938013593257       0.4981187405337464        -0.5693131665399002        
Redshift      All|All|All               All                   All      2.876255873672492         0.3399614139926399        2.5484631687524435        -0.71242834057354          
