#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8525.760731648603     All      0.08809436769770075        -0.005319644161527748      0.015102450086564023       -0.02975406390793786       
Zeropoint     AB|SDSS|SDSS_g                           4525.443485362261     All      -0.18187119330032142       0.16241512692436455        -0.40762166710417713       0.0939550983164214         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4213.886880340851     All      -0.3272967905568528        0.2110133205682152         -0.03536841617623049       0.17376698309736952        
Zeropoint     AB|SDSS|SDSS_i                           7171.033220618998     All      0.22229075690221115        -0.025858609317958026      0.02884037712243548        -0.07954339887765327       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3443.690059119262     All      -0.03518949576326362       0.009988057733600897       0.01269750818033849        0.015282446943834169       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5147.60189899949      All      0.1441616936478595         0.28040011238046336        0.17393417446829457        0.05213921844780464        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5958.726086285478     All      0.7033886597399073         0.03561038165125208        0.35073776697702314        -0.20186553876638536       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4603.276667542777     All      -0.20368949962502253       0.1436559706953111         -0.0417316941491816        0.11127955316674129        
Zeropoint     AB|SDSS|SDSS_r                           5913.4017841227615    All      0.28831960645386717        0.07124041898288191        -0.3403001464913416        -0.08589586564830588       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7285.455054512098     All      0.32182689692329103        -0.060881669206913624      0.19927894939280738        -0.11576786647015963       
Zeropoint     AB|SDSS|SDSS_u                           3441.538900779592     All      -0.04794083635242846       0.045200937846895384       0.005653176480319155       0.03059161543228911        
Check         All|All|All                              All                   All      0.9720941657669481         0.8674644040965851         -0.03877752121314859       -0.03581181826598186       
Lambda        AB|SDSS|SDSS_z                           8525.760731648603     All      3.483978246089379e-05      -5.496815530468577e-05     -3.618461757761497e-05     -3.08681532161931e-05      
Lambda        AB|SDSS|SDSS_g                           4525.443485362261     All      -0.00011740598245305382    -5.449785457204909e-05     -0.0005028730350288849     -1.9496670742516297e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4213.886880340851     All      -0.00034410803764188823    1.7300068146840652e-05     -0.0004059579011792984     9.96064733964707e-05       
Lambda        AB|SDSS|SDSS_i                           7171.033220618998     All      4.3530453348085104e-05     -0.00016187633895139671    -0.00018197577229495666    -7.502849286771691e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3443.690059119262     All      0.00012406671594710465     -0.0004571053689519451     -0.00018889201640819806    -0.00019773625118793905    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5147.60189899949      All      0.00011753504537621692     2.678894857308175e-05      -0.0005603478330780052     -5.4564739392450134e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5958.726086285478     All      0.00010326526208350008     -8.021676894741429e-05     -0.0001289189921235169     -6.551919640124957e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4603.276667542777     All      -0.0001335289576105924     -3.0206935086306135e-05    -0.00033271537424253375    1.880782288373262e-05      
Lambda        AB|SDSS|SDSS_r                           5913.4017841227615    All      6.560885550436596e-05      -0.00011068307907110678    3.0154380854506328e-05     -5.607843140013204e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7285.455054512098     All      4.549533453710364e-05      -0.00010063420002031711    -0.00023280941432339517    -5.798841183052961e-05     
Lambda        AB|SDSS|SDSS_u                           3441.538900779592     All      -1.0115876355877501e-05    -5.0861920682650974e-05    -0.00012380083333903707    -1.8796989737531448e-05    
MWEBV         All|All|All                              All                   All      -0.8280794356535193        -3.911964054634609         0.01658733141038926        -1.0037824607745494        
Redshift      All|All|All                              All                   All      5.002020746900757          -1.6273726660419818        6.613442846259354          -1.864283955376289         
