#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z                           8525.760731648603     All      0.11595443535034312        -0.00680449856709231       0.04180496682357799        -0.03812105975980627      
Zeropoint     AB|SDSS|SDSS_g                           4525.443485362261     All      -0.24623802291113422       0.20480977615813245        -0.29797952698397523       0.13362364946985736       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4213.886880340851     All      -0.33927272822840127       0.22787030576214562        -0.005346118826681782      0.18449857189292881       
Zeropoint     AB|SDSS|SDSS_i                           7171.033220618998     All      0.2468249302888986         -0.04799746505277369       0.030559367104595295       -0.09466962933170774      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3443.690059119262     All      -0.06165320215385784       0.03182557795220475        0.04817188624369399        0.03259880407864778       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5147.60189899949      All      0.186668298614158          0.2716496896704612         0.2141507517174181         0.037237799362081256      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5958.726086285478     All      0.6841812962483833         0.018927030936666256       0.33546891241824933        -0.2017247636190283       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4603.276667542777     All      -0.1978845689996104        0.17537885406522236        0.046511875118105686       0.12365978825928771       
Zeropoint     AB|SDSS|SDSS_r                           5913.4017841227615    All      0.42906000715237935        0.10178368712594477        -0.6350254301765245        -0.13494293288619494      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7285.455054512098     All      0.28305402318659256        -0.06178085293218061       0.22144599469091428        -0.10244194620394721      
Zeropoint     AB|SDSS|SDSS_u                           3441.538900779592     All      -0.10501147566040993       0.08149946283833032        0.0024216066063429673      0.06086081387746229       
Check         All|All|All                              All                   All      0.9956829928873414         0.9971615679570611         0.002184284735716134       0.0005790951395807306     
Lambda        AB|SDSS|SDSS_z                           8525.760731648603     All      2.0215938260661513e-05     -2.3872385847996533e-06    1.3175492487400516e-06     -7.303802149310677e-06    
Lambda        AB|SDSS|SDSS_g                           4525.443485362261     All      -0.00014637815540114428    6.576875816382421e-05      -0.00032106036346505717    5.477577972972496e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4213.886880340851     All      -0.0002901185147420761     0.00014747150643972732     -0.00030779455951014076    0.0001288020086413401     
Lambda        AB|SDSS|SDSS_i                           7171.033220618998     All      -3.557668655377498e-05     -2.594588144417417e-05     -0.00024625396345927594    -7.85211331736808e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3443.690059119262     All      -0.00018034408630310196    9.249219949882665e-05      0.0001337871871722161      9.484206203404634e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5147.60189899949      All      5.3482931269717416e-06     0.00017141984607837478     -0.0007615365822145425     2.0111088334856913e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5958.726086285478     All      -0.0001351677101083262     2.0954318733988235e-05     -0.0006073197696963195     2.3752189053393704e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4603.276667542777     All      -0.00011675676108095738    4.092629008500287e-05      -0.00024187467068882552    4.0568801720388e-05       
Lambda        AB|SDSS|SDSS_r                           5913.4017841227615    All      -0.00010072088414815711    1.4287289932613513e-05     2.6249360195215274e-05     3.863333434121014e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7285.455054512098     All      -8.312065614425163e-05     1.923914406430453e-05      -0.00045324186551057516    1.3115851672184808e-05    
Lambda        AB|SDSS|SDSS_u                           3441.538900779592     All      -7.40316864787188e-05      4.3598107330449675e-05     1.6696925590053628e-05     3.9061000851793426e-05    
MWEBV         All|All|All                              All                   All      -0.8880722621371393        -3.81658403459344          0.07832912409466011        -0.9504171604089031       
Redshift      All|All|All                              All                   All      7.57034083881293           -1.4500668475799117        15.010507728034            -2.2683935269225355       
