#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4472.883563197054    All      0.02451207881760309        0.5453051846654233         1.498405199766083         0.23650639029829762       
Zeropoint     AB|DECam|DECam_g          3365.412753607936    All      -0.5317591764037009        0.1662859565096042         -0.4272125920628401       0.20831172892530816       
Zeropoint     AB|DECam|DECam_i          5433.994855397195    All      0.5071498704332015         0.29284955760857656        -1.7138174437869613       -0.1462844633952569       
Zeropoint     AB|DECam|DECam_z          6367.842768903755    All      0.9886466282434305         -0.006020616068447282      0.6307350814695116        -0.2958490352281937       
Check         All|All|All               All                  All      0.988549401090534          0.9984200827151568         -0.011889754614206938     0.0026846206001551742     
Lambda        AB|DECam|DECam_r          4472.883563197054    All      -0.0002721352069302224     -0.00020306720196944136    -0.001967105278673443     -6.528515251383736e-05    
Lambda        AB|DECam|DECam_g          3365.412753607936    All      -0.0009048540298125081     0.0002778789209730881      -0.0006245905665991707    0.00035738242448257653    
Lambda        AB|DECam|DECam_i          5433.994855397195    All      -0.00010433835933326311    6.75078650085889e-05       -0.002436104407172725     -5.273618222827731e-05    
Lambda        AB|DECam|DECam_z          6367.842768903755    All      -0.00037172186501588335    -4.315788482154215e-06     -0.0012203335785014365    6.521836360880532e-05     
MWEBV         All|All|All               All                  All      -0.5067218127143758        -2.4580233826192455        -0.2453837364339997       -0.6465534663831686       
Redshift      All|All|All               All                  All      4.387700318783704          0.5460196566740905         9.564634985697854         -0.8245360485566798       
