#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          4472.883563197054    All      -0.04434496933854504      0.6111838698991789         1.2354551439587524        0.2686599980325971         
Zeropoint     AB|DECam|DECam_g          3365.412753607936    All      -0.3069923496258576       0.09978348400601078        -0.2636692054790446       0.12073392588965448        
Zeropoint     AB|DECam|DECam_i          5433.994855397195    All      0.5629087440892637        0.28256024629538246        -1.1620211430464433       -0.14317439556718048       
Zeropoint     AB|DECam|DECam_z          6367.842768903755    All      0.7798770524270776        0.005584700245009344       0.1876876636068392        -0.2438368541589353        
Check         All|All|All               All                  All      0.9914484775519388        0.9991123004455815         -0.0025475409598962884    0.0023826741961358033      
Lambda        AB|DECam|DECam_r          4472.883563197054    All      -0.0002340413828518217    -0.00015540418025515753    -0.0013474442407946986    -3.4515523906257194e-05    
Lambda        AB|DECam|DECam_g          3365.412753607936    All      -0.0009509287478472391    0.0002533941224434074      -0.001994544944874078     0.0003032801996230938      
Lambda        AB|DECam|DECam_i          5433.994855397195    All      -0.0001392345345135631    6.423941751132685e-05      -0.002369652869310183     -3.946856386664665e-05     
Lambda        AB|DECam|DECam_z          6367.842768903755    All      0.00036821209659786613    -3.4100963385414915e-05    0.0015770753444782233     -6.066896996409265e-05     
MWEBV         All|All|All               All                  All      -0.4927710637646052       -2.4483017198377865        -0.08693500591405723      -0.6408601797665822        
Redshift      All|All|All               All                  All      2.8561217881362317        0.511036921480823          4.369906300031157         -0.5688624441534659        
