#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7895.225446103726    All      0.16211548438686058        -0.02581124551390701       0.03970130107531222        -0.059442231808941315      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5368.698031640813    All      0.2983028115396759         0.16796331366526474        -0.22401337487718553       -0.05245255056436013       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5349.140953631925    All      0.032797224611501224       0.020098721037609124       -0.04288136674193144       -0.006049918833073847      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6512.066701563143    All      0.07132299535964709        -0.0008675478414765792     0.06019911979124881        -0.020828424687206054      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4378.39256700976     All      -0.41959668655847016       0.3128732109344945         -0.12958948600056974       0.23280655958009336        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6369.03289021276     All      0.5076636191221876         -0.037398244648745305      -0.053806163838676646      -0.1799457030022253        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.73389615001     All      0.4764993526776972         -0.02240615155901793       0.14835841675149286        -0.15588938147940087       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_I      7691.353249988689    All      0.023603644425789633       -0.0011287697877726544     0.0322599105678778         -0.006616549337382094      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5349.256939156848    All      0.28914196632068795        0.1763958869639204         0.017120302763440343       -0.03596110680070888       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.983552337164    All      -0.36196311760860556       0.3007984954236598         0.09524715114805904        0.22013370447542327        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3609.041668166866    All      -0.24432182171035272       0.12889055068847632        -0.005530548854237871      0.12132074501817539        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7828.90249040903     All      0.1637762222174815         -0.02278028578324154       0.07107408071846955        -0.0575958823916263        
Check         All|All|All                                     All                  All      0.9993416947841005         0.9966279335792638         0.008139342503299396       -0.0005207398312327693     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7895.225446103726    All      1.4131645369555101e-05     3.7268205396122398e-06     6.379709451147376e-05      -5.422224370915167e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5368.698031640813    All      3.516287279433416e-05      1.558503812863216e-05      -0.0007167349341565876     -3.836173310917085e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5349.140953631925    All      1.582558756152765e-05      7.895774690096462e-06      -1.388535422933889e-05     -3.2026405214497122e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6512.066701563143    All      -1.548751935186486e-05     4.0231551385161025e-07     -1.5121035976274422e-05    4.5010595885885595e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4378.39256700976     All      -0.0002243070593332752     6.984077347377785e-05      -0.0006143362332651125     6.839862177515722e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6369.03289021276     All      -0.00014672628905645303    -1.8536365153232165e-05    -0.00033008906599992313    2.702531656717635e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.73389615001     All      -0.00012776230721460178    -1.0137014400704688e-05    -0.00022598665044804939    2.8229681336323888e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_I      7691.353249988689    All      -1.7721631386438692e-06    3.78692332155087e-07       -1.1828542546421307e-07    6.953258526092375e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5349.256939156848    All      6.288178484201245e-05      2.567870534114592e-05      -0.000445985414829882      -3.202054766532911e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.983552337164    All      -0.00016385988368345606    6.945266978262617e-05      -0.00034774527763641337    6.047929981429759e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3609.041668166866    All      -0.0004101369586034119     0.00019474785721463467     -0.00015618303740687147    0.00019006115299456195     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7828.90249040903     All      6.936602240451788e-06      1.5211741461984481e-06     2.8311568683063277e-05     -5.005678125972869e-07     
MWEBV         All|All|All                                     All                  All      -0.9704745273344964        -3.995197830877828         0.05136871800790477        -0.9829595404482895        
Redshift      All|All|All                                     All                  All      3.904385036498064          -0.4513018422363402        0.002494752368531472       -1.41867918490551          
