#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7895.225446103726    All      0.15296132281478844        -0.024487173253895378     0.03454824392319112        -0.05625908359974158       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5368.698031640813    All      0.2823329431758619         0.17697447737141658       -0.13639384902891913       -0.04040534955094698       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5349.140953631925    All      0.02823309503341216        0.018053686611985142      -0.022286433808756095      -0.004310309398445148      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6512.066701563143    All      0.09673918190427831        -0.0019007122425307443    0.06319814452428782        -0.029310015748202484      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4378.39256700976     All      -0.39689112342762345       0.3013233338962529        -0.122845095604081         0.22194940691404472        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6369.03289021276     All      0.5015576936244579         -0.034862229679966106     -0.05488235957552122       -0.17717876435383403       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.73389615001     All      0.46011539519112127        -0.024581494868769482     0.07581548734279993        -0.15449842615437367       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_I      7691.353249988689    All      0.02102739453095791        -0.0015920366763566562    0.02053150544103417        -0.006451666111365761      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5349.256939156848    All      0.2817822336070114         0.19113226047871024       0.0571491147134835         -0.02697737603014785       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.983552337164    All      -0.3661629035662209        0.2972885198969877        0.02522515250801431        0.21723363822697284        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3609.041668166866    All      -0.22336256943549848       0.12273492555330279       0.006996042931560177       0.11304754165160424        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7828.90249040903     All      0.157011787122328          -0.022996453041024267     0.05358394359693324        -0.05624340061582163       
Check         All|All|All                                     All                  All      0.9953444505748745         0.9970871040461127        0.0006398969640267899      0.0005961952297426215      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7895.225446103726    All      6.833563315567575e-06      2.351576061491553e-06     3.679020528904261e-05      1.8184718909537998e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5368.698031640813    All      4.7858729688396635e-05     1.319120723104434e-05     -0.0005619740129701625     -3.637067173754546e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_V      5349.140953631925    All      1.422392710112706e-05      8.57309372982371e-06      -9.824420870698404e-06     -2.279081117455711e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_R      6512.066701563143    All      -1.712597777088738e-05     3.965238618384516e-07     -1.1408214961602094e-05    5.198559017259397e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4378.39256700976     All      -0.00019594657756202426    6.868521508897237e-05     -0.00047379196426182305    6.505612167658856e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6369.03289021276     All      -0.00012757119460562734    -1.366672840953365e-05    -0.00024576919269492725    2.6134881692797606e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6493.73389615001     All      -0.00011025479567382543    -8.715663092039392e-06    -0.00017974115324873038    2.50536138718925e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_Harris_I      7691.353249988689    All      -3.830038330433397e-06     2.835929740457035e-07     -3.729234037782531e-06     1.173526462965112e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5349.256939156848    All      4.8839359715652445e-05     2.304956587029356e-05     -0.0003873622879863062     -2.5686784136639363e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4342.983552337164    All      -0.00017208176566152353    6.798674201932232e-05     -0.0003670075602543453     6.18203491615637e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3609.041668166866    All      -0.0003340112043709371     0.0001689137837025137     -9.16631561431981e-05      0.0001597287086911507      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7828.90249040903     All      1.667935239748185e-06      9.233153220844145e-07     1.378364422297444e-05      3.725535312324847e-07      
MWEBV         All|All|All                                     All                  All      -0.9741999715622964        -3.9919639635581206       0.03426541732416869        -0.9814559054796135        
Redshift      All|All|All                                     All                  All      3.8724316593167867         -0.3258239582417666       -0.7788721687164812        -1.4022674608054435        
