#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3190.928032768375    All      -0.5106849200987408       0.08341906505116015       0.0922677042307977        0.1976366972734594        
Zeropoint     AB|PS|PS_r                4052.261982540915    All      -0.48024162484449834      0.40648529040758774       -0.38437833617115674      0.2716830889891328        
Zeropoint     AB|PS|PS_i                4908.166886389315    All      1.0045499018603923        0.3684022800733544        0.1905431106398416        -0.1987111451561497       
Zeropoint     AB|PS|PS_z                5640.681378681069    All      0.9747562628386361        0.1398086837685497        0.10274291685729518       -0.26738495096437687      
Check         All|All|All               All                  All      0.9883796197557893        0.998115319300652         0.0011753955567777724     0.003223690142065583      
Lambda        AB|PS|PS_g                3190.928032768375    All      -0.0013608929819084769    0.0002116921455195696     0.00010450208061201442    0.0005169061604142972     
Lambda        AB|PS|PS_r                4052.261982540915    All      -0.0003163510141139851    0.0002090089148689714     -0.0004826952490703336    0.00014958654067111427    
Lambda        AB|PS|PS_i                4908.166886389315    All      -0.0002494857489250507    -9.597829871583146e-05    -0.0009789184432495018    6.317792665810254e-06     
Lambda        AB|PS|PS_z                5640.681378681069    All      0.0001315887957519651     3.7359096586871536e-05    0.0003738409901067574     -1.401090668419147e-05    
MWEBV         All|All|All               All                  All      -0.4526357594671522       -2.2420354745518623       0.0929149062135017        -0.5787199911835376       
Redshift      All|All|All               All                  All      5.335351375549467         0.332982616901667         4.201524499425201         -1.4419413362301459       
