#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3190.928032768375    All      -0.27329781458131236       0.06269168709618356       0.1654381966101348        0.11682558130719362        
Zeropoint     AB|PS|PS_r                4052.261982540915    All      -0.8120711615859397        0.46415701856403757       -0.6180393076551494       0.3881292491860658         
Zeropoint     AB|PS|PS_i                4908.166886389315    All      0.9485234091701087         0.3705150603980911        0.6700884574651123        -0.15837336485319126       
Zeropoint     AB|PS|PS_z                5640.681378681069    All      1.122710166615237          0.10217033777522033       -0.21619821930282113      -0.3420713305812714        
Check         All|All|All               All                  All      0.9858645996180936         0.9995341038335326        0.0012891271172765784     0.004510135058796716       
Lambda        AB|PS|PS_g                3190.928032768375    All      -0.0011612804529265886     0.00027983176694066194    0.00037097594369281964    0.0004859726137306732      
Lambda        AB|PS|PS_r                4052.261982540915    All      -0.0008277986361115824     0.00019536134651477005    -0.001350776800711713     0.00027299790258268657     
Lambda        AB|PS|PS_i                4908.166886389315    All      -2.6588138103957005e-06    -6.451361009373679e-05    -0.0009489310525367722    -6.249457670386935e-05     
Lambda        AB|PS|PS_z                5640.681378681069    All      0.00035368783534101976     8.235153973444893e-05     0.000802744472914263      -5.2560359223881684e-05    
MWEBV         All|All|All               All                  All      -0.4089180714856464        -2.2434716516915643       0.0014940115538264465     -0.5975077852192325        
Redshift      All|All|All               All                  All      5.466438100598333          0.038762776019751755      7.653296126200115         -1.4264409626349075        
