#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5234.260056622988    All      -0.05099096984070428       1.1705200095363466        0.4422377676700206         0.4176213529471804        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6045.045278936767    All      1.133348963597192          -0.1383180963884456       -0.8403501558695804        -0.45172476590872         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7359.784318700993    All      0.7694277123772896         -0.3859906298137261       0.5363506986969879         -0.35242289787281056      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4228.077544265136    All      -0.8557188691793363        0.3389336136375931        -0.1363446438984202        0.38305318130385857       
Check         All|All|All                                All                  All      0.9960668369544413         0.985144896971768         0.0018936665990079427      -0.0034731295304916143    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5234.260056622988    All      -0.00013904065495560212    0.00026796796059048474    -0.0010233717564550199     8.690771495496715e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6045.045278936767    All      -0.00030677581564623015    7.521559386226411e-05     -0.0010757479769344083     7.642147774217601e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7359.784318700993    All      -0.0003538443981770286     0.00017558529612154565    -0.001083735436129376      0.00012409053405499992    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4228.077544265136    All      -0.00047783207997346186    0.00017303526811570147    -0.00011283343453306442    0.00020697367021437575    
MWEBV         All|All|All                                All                  All      -0.7967801047865488        -3.9558880743172153       0.0462316844000729         -1.0269622895009305       
Redshift      All|All|All                                All                  All      10.105121330187277         -2.78697950290967         16.905737456711368         -3.4449559614096055       
