#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5234.260056622988    All      -0.12040041160244352       1.2402706716185818        1.7997040782605556        0.5235278638249907        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6045.045278936767    All      0.9669019062336661         -0.18323675027955844      -1.295838515983938        -0.43246532026157136      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7359.784318700993    All      0.8374142341478017         -0.4185456778003527       0.13547178641735158       -0.40306197954689815      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4228.077544265136    All      -0.6779776641331767        0.33470686774323966       -0.5591225077401507       0.3049135988000051        
Check         All|All|All                                All                  All      1.0059380646458478         0.9731951112819104        0.08021484095381837       -0.007085837183473664     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5234.260056622988    All      -0.00016518411467914614    0.0005457389808469763     0.00021635611377801873    0.00024122602055821207    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6045.045278936767    All      -0.0002019300933344311     2.054636122793875e-05     -0.00130288710635647      1.4326032896264964e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7359.784318700993    All      -0.00038067527788244744    0.00022871360360308333    -0.0008328743584179725    0.0001613306496359181     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4228.077544265136    All      -0.0005385358654640955     0.00022929901093736964    -0.0005066098052737385    0.0002275014114263723     
MWEBV         All|All|All                                All                  All      -0.7619138240706183        -3.9604523445271766       0.013363341529926132      -1.0412728803475435       
Redshift      All|All|All                                All                  All      9.315059697157515          -4.0648558746859464       10.979641123222539        -3.868307732235171        
