#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4336.228893686805    All      -0.3146150833019389        0.16633370560068528       -0.3627686643517425        0.14047214393694968        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5435.5748320082      All      0.3419267166176386         0.1295335820729271        0.0010061505050895647      -0.06913853157182875       
Zeropoint     AB|CNIa02|SDSS_g                      4680.995448469276    All      -0.02751049648490378       -0.07565408999452572      -0.4839986221186754        -0.03728058786315325       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6156.202524843614    All      0.7155378691612952         -0.026209180979996916     0.2670583538855409         -0.22969382920487724       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4670.088777770464    All      -0.40038047295178736       0.5616629894159786        0.8758639487185693         0.3524549913166808         
Zeropoint     AB|CNIa02|SDSS_r                      6116.661698678337    All      0.4219382076348495         -0.03980034888861894      -0.11464337110886902       -0.1555194457216233        
Zeropoint     AB|CNIa02|SDSS_i                      7417.521393232563    All      0.220998740195957          -0.029917461180062332     0.09322365053940906        -0.07757151832316622       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.850479157353    All      0.16479007110488733        0.05165951266805635       -0.3988234435180482        -0.05464800332208586       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4337.409788449623    All      -0.45306549586079375       0.3666186873378052        0.1718929404725067         0.2746688977339845         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7470.406797911245    All      0.30766278107635625        -0.045306054918548        0.11749844256470077        -0.10973014637248868       
Check         All|All|All                           All                  All      0.9772828371915602         1.0589213411337006        0.16630938558848118        0.034013970608391675       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4336.228893686805    All      -0.00018330548858304466    2.7580616972363383e-05    -0.0005781406137403594     4.289278223875531e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5435.5748320082      All      3.0120207189081704e-05     5.190047789753293e-07     -0.0003752176447729545     -2.6386325649511776e-05    
Lambda        AB|CNIa02|SDSS_g                      4680.995448469276    All      2.8641167230830775e-05     7.408408451911905e-06     6.29711809154403e-07       -6.888106925428247e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6156.202524843614    All      -2.8040092984158163e-05    4.414734197067721e-06     8.960126441362916e-06      1.0971454235730491e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4670.088777770464    All      3.813194584431829e-05      -4.608587828269866e-05    -0.0001828294106582199     -3.559135289485117e-05     
Lambda        AB|CNIa02|SDSS_r                      6116.661698678337    All      6.251906066373356e-05      -9.87200224945234e-06     -1.6223100016778903e-05    -2.4304113229799546e-05    
Lambda        AB|CNIa02|SDSS_i                      7417.521393232563    All      -2.7660239311013466e-06    -5.699968126400618e-06    -5.3541840069635675e-05    -3.345008561836925e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.850479157353    All      2.3188529151803506e-06     -8.066462640194018e-06    -0.00041652237317995656    -2.1970319440074407e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4337.409788449623    All      -0.00020776437416016846    8.73629647120811e-05      -0.0003433376042182237     8.081110328806285e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7470.406797911245    All      -2.7121533367200063e-05    1.9608690727400802e-07    -4.287981049702243e-05     6.984718643772637e-06      
MWEBV         All|All|All                           All                  All      -0.8590783888816906        -4.0605474877597025       0.039142989505092096       -1.041077038865086         
Redshift      All|All|All                           All                  All      3.749731287961759          0.23248846262653444       3.1958967122523774         -1.0030635100184524        
