#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4336.228893686805    All      -0.35086006010782417       0.19256509334688587        -0.15581426223636596       0.17005817574212637        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5435.5748320082      All      0.4308763812146925         0.08011212419685165        0.047292708956819175       -0.11214500191881324       
Zeropoint     AB|CNIa02|SDSS_g                      4680.995448469276    All      -0.28255990949907056       0.27377688536329714        0.00859298921457394        0.18160066266604702        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6156.202524843614    All      0.5981636160149869         -0.04678388232717268       0.06535550313436955        -0.20716410241457686       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4670.088777770464    All      -0.3402722236149469        0.3078409042880814         0.03553590788100211        0.21269757240479661        
Zeropoint     AB|CNIa02|SDSS_r                      6116.661698678337    All      0.5512104721560044         -0.04962821006584406       -0.011363864109651794      -0.19622004286803607       
Zeropoint     AB|CNIa02|SDSS_i                      7417.521393232563    All      0.1958234687122315         -0.02957770511384794       0.03281388309477924        -0.0719562448997051        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.850479157353    All      0.34620638127067416        0.06783713705882377        -0.059780916795298567      -0.09334176866866656       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4337.409788449623    All      -0.3639832741987044        0.23038890125910427        -0.00798319436995543       0.19325031851111557        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7470.406797911245    All      0.21468517410608953        -0.03176525604438041       0.04592395753880248        -0.07822763777448014       
Check         All|All|All                           All                  All      0.999290026054133          0.994765991961799          0.0005727123090747341      -0.0014480692201924023     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4336.228893686805    All      -0.00015948659436134988    3.916214495661253e-05      -0.0003482698853799609     4.916474430648461e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5435.5748320082      All      4.7288599946446227e-05     -1.4642266577758311e-05    -0.00028722538360953146    -3.299047038394474e-05     
Lambda        AB|CNIa02|SDSS_g                      4680.995448469276    All      -5.46829426178618e-05      -1.4588529932806255e-05    -0.000329221271370729      -1.6315640041479886e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6156.202524843614    All      -9.728859177197435e-05     -6.161984869046997e-07     -8.136016259041911e-05     2.7858648537518647e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4670.088777770464    All      1.3288415636611905e-06     -6.417931941810821e-05     -0.00041547316476345784    -3.987882233041144e-05     
Lambda        AB|CNIa02|SDSS_r                      6116.661698678337    All      -2.400742124200343e-05     -1.238835581062303e-05     -0.0001433453232549801     -2.6121315487139662e-06    
Lambda        AB|CNIa02|SDSS_i                      7417.521393232563    All      -1.749044959763062e-05     -6.146141400679863e-06     -8.01842738866496e-05      1.1695852588917348e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.850479157353    All      5.303856573220718e-05      -1.3909579642632378e-05    -0.00032497089550127833    -3.6309172006030845e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4337.409788449623    All      -0.0001107454642176717     2.9430826806465088e-05     -0.00023836033986815615    3.502310243068384e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7470.406797911245    All      -4.4334429816543156e-05    -8.06580646660047e-07      -7.622021309069382e-05     1.077709445487233e-05      
MWEBV         All|All|All                           All                  All      -0.8869402348152269        -4.058050727948892         0.012216834112045504       -1.0323898328535228        
Redshift      All|All|All                           All                  All      3.6465383403204235         0.5301707536778721         1.5812644861330902         -0.9445388768867485        
