#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5419.707091117782    All      0.48053897028004255        0.502798223166101          0.5438327203813024         0.03151932754993385       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4397.071624664135    All      -0.9817294816258674        0.6030529253824302         -0.03896664293660156       0.514476865448203         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8229.323974126497    All      0.11380801508162706        -0.08278115868807223       -0.01683173132164445       -0.06478668435204059      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6372.124852471509    All      0.1624380903717093         -0.090587086745475         -0.3316807926827674        -0.09722001489078941      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7950.618046469168    All      0.32090269014428807        -0.09517732322295025       0.14419025952522566        -0.12909639993885422      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5386.262314702929    All      -0.009346406495912007      0.15838447389580068        -0.4021046831933301        0.03669138071473175       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4423.040961948775    All      -0.11975235358977637       0.156542614625943          -0.14797777321746844       0.08339479260095316       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6430.002831459928    All      1.0310554470822892         -0.15434634486517496       0.2525075282940247         -0.37485611093523874      
Check         All|All|All                       All                  All      0.9979149712484005         0.9978863235486024         0.0029688848487407216      0.00012315619689884372    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5419.707091117782    All      -9.447007201971019e-05     0.0003747491313425176      -0.0015383314554458347     8.419146383262164e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4397.071624664135    All      -0.0007628448067669665     0.0005446754224629063      -0.0004274511481675159     0.0004068271732674017     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8229.323974126497    All      2.446348977713854e-06      -1.7754912889433939e-06    -3.376526890791122e-07     -1.390260158000354e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6372.124852471509    All      -9.09737664872499e-06      5.198104544276607e-06      1.7914784334390115e-05     5.455963077137799e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7950.618046469168    All      3.378341913616079e-05      4.9149333954741634e-05     0.0001304437763622014      1.082629061244379e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5386.262314702929    All      -6.765025225635783e-06     0.0001550336845061821      -0.0004027906095834539     3.4728467823740945e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4423.040961948775    All      -0.00010460150857904736    0.00013736980587079786     -0.00012962918780334558    7.303326244976772e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6430.002831459928    All      -0.0002501152325468576     -4.5644946363102736e-05    -0.000641398635904244      3.798002379963303e-05     
MWEBV         All|All|All                       All                  All      -0.8361089021274601        -4.155571878734432         0.019605475252441797       -1.0803833962532208       
Redshift      All|All|All                       All                  All      4.987151867513944          -4.4904226365049205        0.38590929327799794        -3.0699364595569314       
