#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5419.707091117782    All      0.14531964217774118       0.6344284572959991         0.5122559485168265         0.1821784625619098         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4397.071624664135    All      -0.824296030545915        0.39572561080079005        -0.2541030581334036        0.38606173367505825        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8229.323974126497    All      0.05594202629268394       -0.07162358920993483       -0.06865663159993929       -0.04461614789309787       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6372.124852471509    All      0.05863918921797569       -0.072250569090615         -0.22482754286532458       -0.0526681210687753        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7950.618046469168    All      0.4892529913637216        -0.14912975469498768       0.0746727213255971         -0.2046099619664829        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5386.262314702929    All      -0.022748592128635906     0.08599980396715168        -0.10183700114658745       0.030878412683617296       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4423.040961948775    All      -0.05025232387253255      0.07991157964446494        0.03229952442265205        0.0438400450693488         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6430.002831459928    All      1.2218698346119725        -0.02735908178248536       0.07975275960034889        -0.40335595711049194       
Check         All|All|All                       All                  All      1.0737267371170116        0.8757024569303828         0.04955672012016965        -0.0622915340489138        
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5419.707091117782    All      0.0003091454894709358     -5.154856550960819e-05     -0.0002626919192385429     -0.00012921265404437277    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4397.071624664135    All      -0.0010847709994876132    0.0005369429659641846      -0.0005197943222411712     0.0005050495580797256      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8229.323974126497    All      1.1439549711374744e-05    -1.5283930832220394e-05    -1.0634459970830252e-05    -9.179283895634816e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6372.124852471509    All      6.382237977890776e-07     -9.129896558249677e-07     1.7895172781703726e-05     2.9329811644279003e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7950.618046469168    All      -1.449076547785559e-05    1.5050399297403103e-05     2.320443547705853e-05      1.065803662397906e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5386.262314702929    All      1.882538111227896e-06     4.844482440254434e-05      -0.00012957391012965785    9.384580001157433e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4423.040961948775    All      -6.581120656108994e-05    0.00011297310377857298     5.5323367975101716e-05     6.0704759528420796e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6430.002831459928    All      1.9213766798112996e-05    -8.088256117242216e-05     4.5458934341745355e-05     -3.0576043637041056e-05    
MWEBV         All|All|All                       All                  All      -0.7501666096685828       -4.209040019153321         0.028170281322248414       -1.1254117527503549        
Redshift      All|All|All                       All                  All      5.808944227439039         -3.79900596260625          -1.5251297564961241        -3.1976850054349373        
