#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
52852.46  13.612  0.018
52853.49  13.659  0.016
52854.46  13.674  0.019
52855.47  13.69  0.012
52857.48  13.943  0.015
52859.5  14.153  0.045
52862.5  14.518  0.023
52863.41  14.603  0.026
52865.47  14.796  0.027
52870.52  15.219  0.048
52875.52  15.321  0.014
52878.5  15.507  0.022
52879.49  15.57  0.015
52882.48  15.709  0.021
52888.47  15.973  0.017
52891.38  16.169  0.104
52899.45  16.329  0.019
52909.43  16.542  0.016
52914.44  16.784  0.028
52919.36  16.883  0.056
52926.45  16.77  0.137
52936.42  17.379  0.026
52954.33  17.738  0.062
52959.3  17.855  0.098
52964.28  18.106  0.048
52970.25  18.121  0.043
52976.25  18.285  0.121
53001.18  18.725  0.069
53019.14  19.096  0.146
53026.12  19.224  0.085
