#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7462.5177833467815    All      0.6490499749043497         -0.2017254656426104       0.46211534074072635       -0.25650346542849534      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5457.758869377054     All      0.2966908470818086         0.5693540860353785        -0.33880056005019255      0.0736962743409425        
Zeropoint     AB|CNIa02|SDSS_r                      6153.766774808153     All      1.0395882853409741         -0.13169307968050603      -0.16195887870822379      -0.38875235550635406      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4362.53345508691      All      -0.9907175974820841        0.7647735871679995        0.030613995606851296      0.5731873948039812        
Check         All|All|All                           All                   All      0.9946115098450488         1.0007091278802616        -0.00803010241083868      0.001627848210074223      
Lambda        AB|CNIa02|SDSS_i                      7462.5177833467815    All      -0.00011387798339833156    1.7621337162668537e-06    -0.0006506058593816744    8.634239211501306e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5457.758869377054     All      -0.00014266403208801242    0.00018353869165006485    -0.0015504292914726337    3.706642045808679e-05     
Lambda        AB|CNIa02|SDSS_r                      6153.766774808153     All      -3.4790181777145864e-05    4.9831658338968766e-05    -0.0005985952478592414    8.515606382405696e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4362.53345508691      All      -0.00046051554708465036    0.0002674019358191095     -0.0006689481876915353    0.00020725458670684674    
MWEBV         All|All|All                           All                   All      -0.879165940469882         -4.09653131835519         0.0796297478507818        -1.0444482418337953       
Redshift      All|All|All                           All                   All      7.006764224440371          -2.332000587373173        6.9615169897667695        -2.7312824052819207       
