#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7462.5177833467815    All      0.5540725975549006         -0.17705328645485352       0.334830724931238         -0.22320979631732066      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5457.758869377054     All      0.30699771300173595        0.5653692650626763         -0.31299111836027793      0.07019275858162285       
Zeropoint     AB|CNIa02|SDSS_r                      6153.766774808153     All      1.166502371261257          -0.1649313757511095        -0.0554012239248895       -0.43616407644627897      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4362.53345508691      All      -1.0305347718489966        0.7748704254523453         0.035425571634240885      0.5896607493860694        
Check         All|All|All                           All                   All      0.9970379099688966         0.9982550283090585         0.0018639542803114556     0.00047963520409266547    
Lambda        AB|CNIa02|SDSS_i                      7462.5177833467815    All      -6.81054853634419e-05      -1.2049043856049657e-05    -0.0004745615799190827    -2.918076528183094e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5457.758869377054     All      -4.438856206117078e-05     0.00020503798181259144     -0.0013649097051617667    2.0336779891400707e-05    
Lambda        AB|CNIa02|SDSS_r                      6153.766774808153     All      -1.8559215892310664e-05    0.0001042303263807747      -0.0006290626128620772    1.192441834233902e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4362.53345508691      All      -0.0005706878812772402     0.00033165504356598424     -0.0006176465437334401    0.00026636004832304337    
MWEBV         All|All|All                           All                   All      -0.8854627147350689        -4.101231993523369         0.05447643271206694       -1.045050816777442        
Redshift      All|All|All                           All                   All      6.682937120589184          -3.087388637785171         5.724184637701941         -2.927072463520908        
