#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6078.200936292624     All      1.1904753467099263        -0.08925563237172085       0.07382935432615267       -0.41355581678793624      
Zeropoint     AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.5011162606646976        -0.09650614466902852       0.35252455661464677       -0.17893372673534838      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      0.37118869571078744       0.4142488838314584         -0.5615311079969033       -0.011032434421793096     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -1.0652428550801196       0.7698270538140761         0.13710347289611444       0.603860939635493         
Check         All|All|All                           All                   All      0.9975374480052918        0.9983141606047852         0.0019262758400105662     0.0003389616904152515     
Lambda        AB|CNIa02|SDSS_r                      6078.200936292624     All      -8.715264830034015e-05    -2.3255692361078087e-05    -0.000508268030705399     -1.868327122924304e-06    
Lambda        AB|CNIa02|SDSS_i                      7370.8809965832415    All      -9.149522241905299e-05    9.269691769403873e-06      -0.0003563180036803422    1.6921611623534198e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      6.816797516506483e-05     -1.0946353657618676e-05    -0.0008176546405323465    -6.22583109366824e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.0004289993182099208    9.187024011919535e-05      -0.0011394993379216243    0.00011881372932698817    
MWEBV         All|All|All                           All                   All      -0.8792878853684392       -4.02047346507759          0.05549453518282625       -1.0207110190192519       
Redshift      All|All|All                           All                   All      4.828596597238626         -0.6214590833003797        4.798709293776678         -1.5611180805510099       
