#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6078.200936292624     All      1.119314012578514          -0.052748975323169134      -0.07728917764184828       -0.38522853590834405      
Zeropoint     AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.5563583064972624         -0.08961957221336192       0.4812123524005729         -0.1889419499777674       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      0.31442449329782285        0.372667085961087          -0.7268864676203357        -0.013466076026293766     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.9926626574096726        0.7681172266192249         0.33017513737580995        0.5882781361072911        
Check         All|All|All                           All                   All      0.9974341549639264         0.9984157650437808         0.007211844514198873       0.0006415741948858633     
Lambda        AB|CNIa02|SDSS_r                      6078.200936292624     All      -5.0734224422987686e-05    -5.597234803512426e-06     -0.00016378039729108014    7.3938355669697976e-06    
Lambda        AB|CNIa02|SDSS_i                      7370.8809965832415    All      -4.438293118301044e-05     9.672708612326941e-06      -0.00015685487010022305    1.0607987814855643e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      4.3024223336227916e-05     -1.5351102378724282e-05    -0.0008040753040820335     -5.489695191341721e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.00039060558976625724    3.4066055909098716e-05     -0.0015799068497996938     6.782553982175828e-05     
MWEBV         All|All|All                           All                   All      -0.8596458125878481        -4.02166162190376          0.09823702710964888        -1.025588708990844        
Redshift      All|All|All                           All                   All      4.73110319035349           -0.6513742744693296        4.618230079061814          -1.5471595908766616       
