#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5407.6689624217015    All      3.4354869834700477        -0.03170794573303937       0.6252691338729577        -1.1014765660789876        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4515.794987400366     All      -2.437388663045602        1.0330723771165395         -0.6308578920991625       1.102291045258813          
Check         All|All|All                            All                   All      0.9980983204244459        1.0013644313835002         -0.00558875822620486      0.0008144791798254669      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5407.6689624217015    All      0.0003793645197129205     -3.826540506766844e-05     -0.0003941476376247488    -0.00015362480493002592    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4515.794987400366     All      0.00017169163572400617    -0.00023834510680886622    -0.001498040787746473     -0.00020041313695574566    
MWEBV         All|All|All                            All                   All      -0.1564641085673122       -2.4657628234757922        -0.006337985953552838     -0.7524974003205592        
Redshift      All|All|All                            All                   All      -2.3834065196348577       0.7876892043263695         -3.9324432861166545       0.857443320444054          
