#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5407.6689624217015    All      3.433708660026513         -0.07045216654653075       0.4034686565343146         -1.1234155116051605        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4515.794987400366     All      -2.4361895092227126       1.0725797079025767         -0.4042382668888066        1.1248822718441445         
Check         All|All|All                            All                   All      0.9975191508037999        1.002127541356046          -0.000769610354492023      0.0014667602389839551      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5407.6689624217015    All      0.000684618953425881      -3.1162928134427215e-05    -0.00014092523077487954    -0.00023944255315194358    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4515.794987400366     All      -0.0001380829373827575    -0.00014038536976969032    -0.0019087507609200714     -8.592875786090639e-05     
MWEBV         All|All|All                            All                   All      -0.16046704819140034      -2.46555064772771          -0.010557359302559816      -0.751312689824352         
Redshift      All|All|All                            All                   All      -2.492119119297026        0.4720140029947473         -3.0716698718240556        0.8284411563035432         
