@INSTRUMENT MOSAICII
@BAND MOSAICII_R
@MAGSYS Linear_AB11_off
#Date : MJD
#Flux : 
#Fluxerr : 
#ZP : 
#end
53645.1896  1.1391  1.1841  25.0
53682.1627  0.3444  0.9731  25.0
53698.1472  -0.4404  0.7615  25.0
53704.165  -0.128  0.3454  25.0
53994.3713  0.7081  0.1918  25.0
54003.3489  0.7079  0.673  25.0
54006.3556  0.3512  0.4391  25.0
54023.3259  7.4938  0.6577  25.0
54027.3671  10.4907  0.7741  25.0
54031.3346  11.8771  0.589  25.0
54037.3421  12.9511  0.8044  25.0
54039.3166  14.7126  0.8396  25.0
54053.1507  7.4652  0.3777  25.0
54055.3022  5.6972  1.0104  25.0
54057.276  5.7604  0.9276  25.0
54063.3132  4.1999  0.6124  25.0
54069.2826  2.6823  0.633  25.0
54084.1557  2.3343  1.398  25.0
54086.1542  2.8108  0.7053  25.0
54088.1631  1.9231  0.5097  25.0
54095.1619  0.0598  0.6469  25.0
54098.1851  3.0736  2.26  25.0
54099.1437  3.0505  1.9869  25.0
54351.3487  0.7493  0.5711  25.0
54354.3693  -1.5063  0.673  25.0
54360.3374  0.4488  0.6375  25.0
54377.3389  0.56  0.8084  25.0
54381.3818  -0.322  0.7424  25.0
54383.3749  -0.0235  0.115  25.0
54387.321  -1.0599  1.1813  25.0
54393.3133  -0.2666  0.5402  25.0
54407.3041  1.5261  0.9143  25.0
54409.3489  -0.3225  0.6716  25.0
54411.3131  -0.1906  0.5174  25.0
54417.174  -0.1258  0.3561  25.0
54419.1697  -0.0029  0.415  25.0
54421.153  0.0587  0.4289  25.0
54423.3093  1.3877  1.0518  25.0
54435.2565  -0.3626  1.1949  25.0
54437.2326  0.4818  0.682  25.0
54439.1731  0.5478  0.5896  25.0
54441.1528  0.1954  0.4793  25.0
54443.1516  -0.5021  0.7138  25.0
54445.1617  0.4595  0.6582  25.0
