#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6195.628203196882     All      0.19264690657959294        -0.006784940472126522      0.07231130132071195        -0.06173459243347945       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B           4332.797494119049     All      -0.10497499609862959       0.07433599965587234        0.004166231657672017       0.05859341025785114        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5237.072323503911     All      0.10739224540221028        0.045639520918427934       0.126826316316823          -0.01445521796364091       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      0.28401976505790605        -0.03416029476017712       0.02163574358935213        -0.10267620942877587       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.19500313138304587       0.07828547083521542        -0.015922115270538672      0.08830855779354968        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      0.7898614345206932         -0.03478183543270674       -0.14443119170336316       -0.27505874371881456       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.36958238131861665        0.1710818397399727         -0.15578523869711822       -0.07161013657333848       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R           6194.42825807907      All      0.16877360507654773        -0.002297435319054131      0.03128589196100548        -0.05432732025959092       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I           7675.037364900339     All      0.07595571705248426        -0.007173945638783152      0.03307441209291833        -0.025602106916787493      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.415231531721687         0.23527139959176324        -0.18762389916927566       0.20351741274503565        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8001.386176161766     All      0.0332841260231395         -0.003869420364832621      0.015179181047622874       -0.011424755239233808      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4300.530507828342     All      -0.13327759352443472       0.09324517656130737        0.05440513735015589        0.07621377000088386        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.2693707315619431        0.3471397163825607         0.11051991563155007        0.20574973172183264        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V           5240.117918577938     All      0.08909966133339857        0.04169089446968144        0.03542820911588374        -0.01386159681265181       
Check         All|All|All                              All                   All      0.9927578580748487         0.9976221461671209         0.0010698952433998085      0.0016322031728396857      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6195.628203196882     All      -6.586441244418927e-05     1.1600590391884694e-06     -2.5237492299169877e-05    2.0705842032049337e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B           4332.797494119049     All      -2.2690740373483412e-05    1.23699889211773e-05       -3.487898910058441e-05     9.863943904847117e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5237.072323503911     All      6.442768511506932e-05      1.4244672344130538e-05     5.6684794072034914e-05     -1.381667621598371e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      -4.90567964253776e-05      -1.024345217222776e-05     -0.00016647077277157614    5.213957128157626e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.00034763573313104903    8.36809041238579e-05       -0.0002155939144289629     0.00013087305243587592     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      -0.00011018727330430235    -2.6452509603933254e-05    -0.00043260480105817835    7.97000193986927e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      6.653929182763845e-05      2.419085999130298e-06      -0.0008176761771106535     -5.7375192864061146e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R           6194.42825807907      All      -3.830471950506256e-05     -8.649627060858957e-07     -8.772923726663104e-06     1.1803865227499617e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I           7675.037364900339     All      -1.560566315816431e-05     1.6298130151835986e-06     -6.105088839202654e-06     5.341719544748257e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.00026971521309732236    6.21554395914632e-05       -0.0005538296105121487     8.338631793114698e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8001.386176161766     All      -4.201353957475745e-06     4.937822119693388e-07      -1.8908178115295784e-06    1.4449818010636912e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4300.530507828342     All      -3.0136695151261828e-05    2.6710433254949546e-05     2.035628879804174e-05      1.9425387612880487e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.000128407366366485      -6.967940840474215e-05     -0.0008095554051442817     -1.6997111577532166e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V           5240.117918577938     All      4.367749297289868e-05      7.1911354416234906e-06     -1.505096420897552e-05     -1.2556462419512974e-05    
MWEBV         All|All|All                              All                   All      -0.9674490232450141        -3.9147629424875596        0.004025472701917835       -0.9598574688867697        
Redshift      All|All|All                              All                   All      5.69449586607576           1.1681682921063086         8.450776656942681          -1.097254453409871         
