#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R           6195.628203196882     All      0.18788226940118588        -0.0065102900358660065     0.07117420633923799        -0.06014387399627893       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B           4332.797494119049     All      -0.09021078855014093       0.06747658526373712        0.012820029480508775       0.051936064447136075       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V           5237.072323503911     All      0.1058652676102449         0.04658964630293028        0.1285527907485479         -0.01357129934031386       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      0.2813338248645237         -0.03251000914348268       0.04403014582758984        -0.10026439870671876       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.19779059365155444       0.07887662605989831        -0.029700116319620152      0.08879423575754554        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      0.8070080535667543         -0.03379430958529994       -0.11326648829423261       -0.27893155441314793       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.36463226102394586        0.1747469275088953         -0.14928672453974923       -0.06851388103485218       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R           6194.42825807907      All      0.16197936762492485        -0.00212134684822729       0.03413481888177066        -0.05192972126591191       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I           7675.037364900339     All      0.07238202507176641        -0.006838404904740969      0.03314559145755028        -0.024325564803525407      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.4206121273517377        0.24091742583864928        -0.20361720561278837       0.2063954384434642         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I           8001.386176161766     All      0.033077978106917434       -0.0038941086702770633     0.015113529630339538       -0.011368577595386965      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B           4300.530507828342     All      -0.12077147341157304       0.08575927766498737        0.04676455222611561        0.06936074746955644        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.269561553421317         0.3498399261512297         0.07371501174573383        0.20504900201358706        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V           5240.117918577938     All      0.07973917016538065        0.03855033143631559        0.036756330896488804       -0.011776293614412412      
Check         All|All|All                              All                   All      0.9949536810493207         0.997088277038749          0.00033647246749288207     0.0007103233607409967      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R           6195.628203196882     All      -5.548028031661071e-05     2.122928892759707e-06      -2.069183689546426e-05     1.7839878682310035e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B           4332.797494119049     All      -3.345333605205398e-05     1.8116582259492642e-05     -2.4907102006432788e-05    1.5686529425623887e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V           5237.072323503911     All      4.6976296222206986e-05     2.0072095069324832e-05     5.5968644746881376e-05     -6.265959877055181e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7398.635522332048     All      -3.589409021261624e-05     -1.230252962054401e-05     -0.0001654688463211056     3.004327837396599e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3497.1882207305453    All      -0.00037410776169726374    0.00010579055802823954     -0.0001786838908525548     0.0001483448295370369      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6051.295651399883     All      -5.6752913796585846e-05    -3.2968788098462026e-05    -0.00044579680661637584    -1.2146591794240936e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5227.570547041426     All      0.000121350036312332       1.449146234844487e-05      -0.0007907434725979892     -7.00946025113393e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R           6194.42825807907      All      -3.18585415432424e-05      4.002498264677675e-07      -1.1357819757734734e-05    1.0000902300619059e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I           7675.037364900339     All      -1.442521669580807e-05     1.4370146405378061e-06     -6.189436454400455e-06     4.890644476251796e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4279.350147204594     All      -0.0002976973227312307     8.651075202460854e-05      -0.0005453652729982769     0.00010081206265637633     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I           8001.386176161766     All      -3.6612923907886933e-06    4.349277250742068e-07      -1.66299412695498e-06      1.260061863345299e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B           4300.530507828342     All      -4.671960914399259e-05     3.311789245114034e-05      1.643345832028082e-05      2.673905061401023e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4674.7891541120935    All      -0.00013148099077035113    -3.826532939135473e-05     -0.0007577893344599355     -3.453249981112299e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V           5240.117918577938     All      2.8824158481661212e-05     1.1756644204485794e-05     -9.365277718072325e-06     -5.977380236010204e-06     
MWEBV         All|All|All                              All                   All      -0.9659233113532939        -3.9140284767101186        0.0002936129787633343      -0.960281739537047         
Redshift      All|All|All                              All                   All      5.6033358023801565         0.7516119466912663         8.325200010555994          -1.2088506365611464        
