#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5118.127727880992     All      0.3952962603252243         0.1693847941561799        -2.102469956989777        -0.1674103746829459        
Zeropoint     AB|PS|PS_r                4225.609049886648     All      -0.09244917974706501       0.577638869481234         1.9824565762506907        0.30673765478001425        
Zeropoint     AB|PS|PS_g                3327.4290830397713    All      -0.5661030858758186        0.11005890338626756       -0.5734561063542903       0.19465749273340338        
Zeropoint     AB|PS|PS_z                5881.977617433366     All      1.2500829113679954         0.1420524647706145        0.6855346162720238        -0.3303297081980826        
Check         All|All|All               All                   All      0.9868269060703361         0.999135031794296         -0.00793487082135269      0.0036550646323891267      
Lambda        AB|PS|PS_i                5118.127727880992     All      -0.00028555880066201357    -8.786352352678632e-05    -0.004558046999748822     -0.00013900884750174644    
Lambda        AB|PS|PS_r                4225.609049886648     All      -0.00020997442262456165    0.0002199795022961412     6.0404102054133746e-05    0.00014274569605932222     
Lambda        AB|PS|PS_g                3327.4290830397713    All      -0.0010847070659717028     0.00019973784380100974    -0.0011706576320432086    0.0003661448906132876      
Lambda        AB|PS|PS_z                5881.977617433366     All      -0.0008399270860084309     -9.43231198801255e-05     -0.0005809057876159903    0.0002169445841123501      
MWEBV         All|All|All               All                   All      -0.4966980480052212        -2.4030460894071126       -0.3501426579008724       -0.6365855327473326        
Redshift      All|All|All               All                   All      4.316862349893575          0.057381726912097974      0.8303114913762809        -1.3503999832778264        
