#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7763.781303069329    All      0.7925172181061537        -0.09774066131207348       0.3219929705982814        -0.2756172125232126        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4273.149992160706    All      -1.3115385684776715       0.7653298231206307         0.04747796939963488       0.6786230858000171         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5345.935454706779    All      1.5272728890672798        0.3292791407545792         -0.363605298616229        -0.4064520111475974        
Check         All|All|All                               All                  All      1.0082515386957618        0.9968683025631364         0.005865641381687325      -0.003446137870792898      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7763.781303069329    All      -7.01182650521297e-05     1.2816659350023513e-05     3.695053361160653e-05     2.8663565963173713e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4273.149992160706    All      -0.000686574768327871     0.0001390549969230452      -0.0012828884182204384    0.00021168535894290427     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5345.935454706779    All      0.00037747263275144624    -5.5704714072163453e-05    -0.001616947286662336     -0.00021325704400532565    
MWEBV         All|All|All                               All                  All      -0.7272697294230541       -3.9884990325045777        0.09038232373396571       -1.058256327273606         
Redshift      All|All|All                               All                  All      1.9253170977835035        -0.25455372312066515       3.897189640685248         -0.5361419674691498        
