#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7763.781303069329    All      0.758198947834756         -0.08960286825825392      0.33220589333308875       -0.261332120099797         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4273.149992160706    All      -1.3174919992302363       0.7499512218198667        0.0213600340126352        0.6743874741725844         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5345.935454706779    All      1.568109986847205         0.33629154070400347       -0.34722572877907143      -0.41673888305730766       
Check         All|All|All                               All                  All      1.008816935451725         0.9966398942656163        0.006340198566652522      -0.00368352898452029       
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7763.781303069329    All      -7.804798860108616e-05    1.3687990237762517e-05    4.8870351037237274e-05    3.2062285645260645e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4273.149992160706    All      -0.0005749871979530407    6.724618706838593e-05     -0.0013404844638574068    0.0001493768773527563      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5345.935454706779    All      0.00025875304413819404    -8.149132285323211e-05    -0.0017505056912331294    -0.00018894581325419054    
MWEBV         All|All|All                               All                  All      -0.7343240733085419       -3.985759069952355        0.08677520943129458       -1.0552269683881843        
Redshift      All|All|All                               All                  All      2.0073570611742366        0.15479895142540556       3.9882715910071296        -0.4254608800589102        
