#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4915.717790712576    All      -2.20550956125628          1.5544965928587118        -0.652964012609139        1.1956189199959413        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5886.576914813292    All      3.20277100114013           -0.5516711029430965       0.6506817079577413        -1.1939083746231323       
Check         All|All|All                            All                  All      0.99726143988385           1.0028254899156153        -0.002282304651397782     0.0017105453728090136     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4915.717790712576    All      -0.0004149106377308063     -4.596255401946417e-05    -0.0028532945512755436    -7.150902219350923e-06    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5886.576914813292    All      -0.00034893634945816075    5.948261076256949e-05     -8.728534986033987e-05    0.0001291403476514214     
MWEBV         All|All|All                            All                  All      -0.4000830297770537        -2.7606586487813445       -0.02558149807170135      -0.7700587245081806       
Redshift      All|All|All                            All                  All      -0.44225102525786575       1.824872536725053         5.977091404411946         1.0052068678786175        
